SITE NUMBER,SITE NAME,SITE ALIAS,STREET ADDRESS,TOWN,COUNTY,PROGRAM,AREA-ACRES,IC CONTROLS,STATUS,SUBSTATUS,STATUS DATE,LATITUDE,LONGITUDE,x,y
REM00951,"BANGOR PIPE & SUPPLY, INC.",,54-69 FARM ROAD,BANGOR,PENOBSCOT,VRAP,3.8,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,7/11/1999,44.78570864,-68.7824886,-68.78248859999997,44.78570864000005
REM00954,FORMER DARLINGS' NISSAN,,366 GRIFFIN ROAD,BANGOR,PENOBSCOT,VRAP,2.07,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1/20/1997,44.81808153,-68.81518881,-68.81518880999994,44.81808153000003
REM00955,GRANTS DAIRY,,566 UNION STREET,BANGOR,PENOBSCOT,VRAP,1.3,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,9/24/1998,44.80670307,-68.79144333,-68.79144332999994,44.806703070000026
REM00958,KOBRITZ BUILDING,,77 RAILOROAD STREET,BANGOR,PENOBSCOT,VRAP,,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2/2/2003,44.79459114,-68.77260732,-68.77260731999996,44.79459114000008
REM00960,MAINE CENTRAL RAILROAD YARD,,FRONT STREET,BANGOR,PENOBSCOT,VRAP,33,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,10/8/2002,44.79314128,-68.77415171,-68.77415170999996,44.79314128000004
REM00961,NATIONAL CONFECTIONARY,,86-160 FRONT STREET,BANGOR,PENOBSCOT,VRAP,3.78,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1/30/2002,44.79564671,-68.77042883,-68.77042882999996,44.79564671000003
REM00962,NYNEX FACILITY,,645 ODLIN ROAD,BANGOR,PENOBSCOT,VRAP,5,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2/8/2000,44.78168103,-68.82123783,-68.82123782999997,44.78168103000007
REM00963,Q.V. REALTY TRUST,BANGOR RADIATOR,240-244 MAIN STREET,BANGOR,PENOBSCOT,VRAP,1.71,FALSE,INVESTIGATION STAGE,NEED (AWAITING RESOURCES),6/8/2006,44.79692397,-68.77300072,-68.77300071999997,44.79692397000008
REM00964,ROADWAY TRAVELODGE,,482 ODLIN ROAD,BANGOR,PENOBSCOT,VRAP,3.5,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,6/5/2002,44.78365926,-68.81457627,-68.81457626999998,44.783659260000036
REM00966,WESTGATE MALL,"UNION STREET LAUNDROMAT & DRY CLEANING (RCRA NAME), NORGE VILLAGE LAUNDRY AND DRY CLEANING",915 UNION STREET,BANGOR,PENOBSCOT,VRAP,11.5,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,5/1/2016,44.814557,-68.801829,-68.80182899999994,44.814557000000036
REM00975,PENOBSCOT POULTRY,,CROSS & FRONT STREETS,BELFAST,WALDO,VRAP,2.73,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/22/2020,44.42689294,-69.00273663,-69.00273662999996,44.42689294000007
REM00976,TOURMALINE PROPERTY,"MBNA, HUTCHINS CENTER UMO",80 BELMONT AVENUE (ROUTE 3),BELFAST,WALDO,VRAP,5,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,11/11/1999,44.41921286,-69.03551115,-69.03551114999993,44.41921286000007
REM00984,HARBORSIDE RESTAURANT,,WILSON STREET & SOUTH MAIN STREET,BREWER,PENOBSCOT,VRAP,2,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,9/17/2001,44.79474044,-68.76691473,-68.76691472999994,44.794740440000055
REM00995,BUCKSPORT APARTMENTS,,MIDDLE STREET EXTENSION,BUCKSPORT,HANCOCK,VRAP,12.17,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,8/2/2001,44.57664347,-68.79724917,-68.79724916999999,44.57664347000008
REM00996,BUCKSPORT NORTH,SPRAGUE TERMINAL,ROUTE 15,BUCKSPORT,HANCOCK,VRAP,38.3,FALSE,REMEDIATION STAGE,NEED (AWAITING RESOURCES),3/27/2007,44.59092496,-68.81226857,-68.81226856999996,44.59092496000005
REM01003,"CHADWICK-BAROSS, INC.",,314 MAIN STREET,CARIBOU,AROOSTOOK,VRAP,3,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,10/12/2000,46.83219887,-68.010396,-68.01039599999996,46.83219887000007
REM01004,L.B. CARTER BULK PLANT,,RIVER ROAD,CARIBOU,AROOSTOOK,VRAP,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,12/8/2015,46.85473835,-68.00023832,-68.00023831999994,46.85473835000005
REM01006,PAUL BATES' SUBARU,,109 BENNETT ROAD,CARIBOU,AROOSTOOK,VRAP,0.5,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,9/5/2002,46.868478,-68.003807,-68.00380699999994,46.86847800000004
REM01007,DUNTON FARM,,COOK ROAD,CARMEL,PENOBSCOT,VRAP,19,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,6/12/2001,44.77905069,-69.06195766,-69.06195765999996,44.779050690000076
REM01011,ROGERS BROTHERS FARMS,,MUTTON LANE ROAD,CLINTON,KENNEBEC,VRAP,23.5,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,6/12/2001,44.690496,-69.488154,-69.48815399999995,44.69049600000005
REM01017,BODFISH-ELLIOTSVILLE PLANTATION,,ELLIOTSVILLE ROAD,ELLIOTTSVILLE TWP,PISCATAQUIS,VRAP,,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,3/2/1998,45.375659,-69.429901,-69.42990099999997,45.37565900000004
REM01022,FAIRFIELD PUFFIN STOP,,95 MAIN STREET,FAIRFIELD,SOMERSET,VRAP,0.53,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,3/1/2001,44.583853,-69.599307,-69.59930699999995,44.58385300000003
REM01025,C & R REALTY TRUST,,ROUTES 2 & 4 (WILTON ROAD),FARMINGTON,FRANKLIN,VRAP,5.88,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,3/15/2000,44.63898697,-70.15357097,-70.15357096999998,44.638986970000076
REM01030,NUTRITE CORP,,52 MCSHEA SIDING,FORT FAIRFIELD,AROOSTOOK,VRAP,0.56,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1/31/1999,46.76073962,-67.85322154,-67.85322153999994,46.76073962000004
REM01031,SOUCY'S ECONOMAT,,67 EAST MAIN STREET,FORT KENT,AROOSTOOK,VRAP,6,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,7/6/1999,47.25739615,-68.59081543,-68.59081542999996,47.257396150000034
REM01046,41 BANGOR STREET,,41 BANGOR STREET,HOULTON,AROOSTOOK,VRAP,0.88,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,3/21/2016,46.1251239,-67.84186262,-67.84186261999997,46.12512390000006
REM01048,NUTRITE,,ROUTE 2A,HOULTON,AROOSTOOK,VRAP,31,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2/2/1999,46.12338,-67.826836,-67.82683599999996,46.123380000000054
REM01054,JACKMAN STATION RAILYARD,,MAIN STREET (ROUTE 201),JACKMAN,SOMERSET,VRAP,3.9,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,5/2/2001,45.623671,-70.251599,-70.25159899999994,45.62367100000006
REM01072,RITE AID LINCOLN,DL & L CORP,2 WEST BROADWAY,LINCOLN,PENOBSCOT,VRAP,7,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,10/8/1997,45.36206013,-68.50486596,-68.50486595999996,45.36206013000003
REM01077,RIER MOTORS,,DUBLIN STREET & ROQUES BLUFF ROAD,MACHIAS,WASHINGTON,VRAP,2.5,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/2/2002,44.701288,-67.468433,-67.46843299999995,44.701288000000034
REM01080,CHRISTY'S #354,,14 MAIN STREET,MILFORD,PENOBSCOT,VRAP,0.4,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1/31/2007,44.94014336,-68.64186235,-68.64186234999994,44.940143360000036
REM01086,BRADSTREET PROPERTY,,RIDGE ROAD,NEWPORT,PENOBSCOT,VRAP,77,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,6/12/2001,44.82061918,-69.25716013,-69.25716012999999,44.82061918000005
REM01087,NEWPORT RENTAL,,139 MAIN STREET,NEWPORT,PENOBSCOT,VRAP,0.3,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,5/27/1997,44.83497,-69.275614,-69.27561399999996,44.834970000000055
REM01144,FORMER SEARS,,320 MAIN STREET,PRESQUE ISLE,AROOSTOOK,VRAP,2.3,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/10/1997,46.67943085,-68.01446752,-68.01446751999998,46.679430850000074
REM01145,IFL NUTRITE,,825 NORTH MAIN STREET,PRESQUE ISLE,AROOSTOOK,VRAP,4.1,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,10/29/1998,46.7011521,-68.0118296,-68.01182959999994,46.70115210000006
REM01148,THOMAS EQUIPMENT LTD.,B. DONALD INMAN,794 NORTH MAIN STREET,PRESQUE ISLE,AROOSTOOK,VRAP,1.4,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,3/21/2016,46.69882371,-68.01021089,-68.01021088999994,46.698823710000056
REM01149,NORTHEASTLAND HOTEL,,436 MAIN STREET,PRESQUE ISLE,AROOSTOOK,VRAP,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,5/13/2003,46.68077572,-68.01469216,-68.01469215999998,46.68077572000004
REM01171,D.W. SMALL/IRVING OIL,,109 WATERVILLE ROAD (ROUTE 201),SKOWHEGAN,SOMERSET,VRAP,3.01,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,3/18/1999,44.761941,-69.706567,-69.70656699999995,44.761941000000036
REM01172,DEXTER SHOE,NEW BALANCE,ISLAND AVENUE,SKOWHEGAN,SOMERSET,VRAP,0.62,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,12/31/1949,44.76325916,-69.71677002,-69.71677001999996,44.763259160000075
REM01191,ST. AURELIE STATION,,MAINE/QUEBEC BORDER,BIG SIX TWP,SOMERSET,VRAP,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2/15/2000,46.208077,-70.273093,-70.27309299999996,46.20807700000006
REM01192,STE. AURELIE LANDFILL,,DUMP ROAD,T07 R19 WELS,SOMERSET,VRAP,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,3/21/2000,46.219089,-70.246725,-70.24672499999997,46.219089000000054
REM01196,VANCEBORO RAIL YARD,,RAILROAD STREET,VANCEBORO,WASHINGTON,VRAP,29,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,10/26/2005,45.56216,-67.431558,-67.43155799999994,45.56216000000006
REM01203,FRONT STREET MPL,,31 FRONT STREET,WATERVILLE,KENNEBEC,VRAP,0.96,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,6/23/1996,44.54963144,-69.62786885,-69.62786884999997,44.54963144000004
REM01204,LARSONS SERVICE,,366 MAIN STREET,WATERVILLE,KENNEBEC,VRAP,0.8,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,7/6/2003,44.56985309,-69.6399831,-69.63998309999994,44.56985309000004
REM01208,WATERVILLE SURPLUS PROPERTY,,OFF ROUTE 201,WATERVILLE,KENNEBEC,VRAP,12.5,FALSE,REMEDIATION STAGE,NEED (AWAITING RESOURCES),9/8/1999,44.559647,-69.625325,-69.62532499999998,44.55964700000004
REM01235,ARC BANGOR,FORMER HAROLD SLAGER MEMORIAL ARMY RESERVE CENTER,931 UNION STREET,BANGOR,PENOBSCOT,FEDERAL FACILITIES,5,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,8/31/2005,44.8146765,-68.80438713,-68.80438712999995,44.814676500000076
REM00429,BANGOR ARMY NATIONAL GUARD,,287 GODFREY ROAD,BANGOR,PENOBSCOT,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,4/8/2009,44.81390896,-68.8044447,-68.80444469999998,44.81390896000005
REM00429,BANGOR ARMY NATIONAL GUARD,,287 GODFREY ROAD,BANGOR,PENOBSCOT,UNCONTROLLED SITES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,4/8/2009,44.81390896,-68.8044447,-68.80444469999998,44.81390896000005
REM01501,DFSP PIPELINE - BANGOR TO LIMESTONE,,,BANGOR,PENOBSCOT,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,4/8/2009,44.81828923,-68.83133645,-68.83133644999998,44.81828923000006
REM01501,DFSP PIPELINE - BANGOR TO LIMESTONE,,,BANGOR,PENOBSCOT,UNCONTROLLED SITES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,4/8/2009,44.81828923,-68.83133645,-68.83133644999998,44.81828923000006
REM01240,DOW AFB FAMILY HOUSING #2,,,BANGOR,PENOBSCOT,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,44.83934903,-68.82060904,-68.82060903999997,44.83934903000005
REM01242,DOW PRECISION BOMBING RANGE,,,T32 MD,HANCOCK,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,44.97545325,-68.45948371,-68.45948370999997,44.975453250000044
REM01249,LITTLE RIVER BATTERY,,BATTERY ROAD,BELFAST,WALDO,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,44.40406375,-68.9848433,-68.98484329999997,44.404063750000034
REM01250,MINISTERS POINT BATTERY,FUDS D01ME0519,EAST SIDE BATTERY,BELFAST,WALDO,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,44.42699279,-68.97207624,-68.97207623999998,44.42699279000004
REM01255,BRIDGEWATER GAP FILLER  ANNEX,,,BRIDGEWATER,AROOSTOOK,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,46.42103064,-68.02442673,-68.02442672999996,46.421030640000026
REM01284,NSGA COREA OPERATIONS,,OFF ROUTE 195,GOULDSBORO,HANCOCK,FEDERAL FACILITIES,469,FALSE,REMEDIATION STAGE,NEED (AWAITING RESOURCES),3/12/2016,44.40120646,-67.99137374,-67.99137373999997,44.401206460000026
REM01291,DEBLOIS PRECISION BOMBING RANGE,,,T18 MD BPP,WASHINGTON,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,44.76231463,-67.82288394,-67.82288393999994,44.76231463000005
REM01293,LORING SURVIVAL TRAINING ANNEX,,,T14 R09 WELS,AROOSTOOK,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,2/20/1996,46.93147351,-68.86514941,-68.86514940999996,46.931473510000046
REM01294,NAVAL FUEL DEPOT,,ROUTE 184,LAMOINE,HANCOCK,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/12/1994,44.450951,-68.299308,-68.29930799999994,44.45095100000003
REM01295,FORT SULLIVAN,,MCKINNLEY STREET,EASTPORT,WASHINGTON,FEDERAL FACILITIES,12.18,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,44.90751,-66.988544,-66.98854399999993,44.90751000000006
REM01296,TREATS ISLAND BATTERY,,TREATS AND DUDLEY ISLANDS,EASTPORT,WASHINGTON,FEDERAL FACILITIES,73.93,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,44.8776259,-66.98721065,-66.98721064999995,44.877625900000055
REM01297,TODDS HEAD BATTERY,,CAPON STREET,EASTPORT,WASHINGTON,FEDERAL FACILITIES,2,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,44.911619,-66.983918,-66.98391799999996,44.91161900000003
REM01299,CAMP OLSEN,,DODGE ROAD,EDMUNDS TWP,WASHINGTON,FEDERAL FACILITIES,221,FALSE,INVESTIGATION STAGE,ONGOING,8/20/2024,44.876757,-67.258939,-67.25893899999994,44.876757000000055
REM01317,DIRECTION FINDER STATION,,,JONESPORT,WASHINGTON,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,44.55501263,-67.57969462,-67.57969461999994,44.55501263000008
REM01338,FORT KNOX,,,PROSPECT,WALDO,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,44.5662689,-68.80245685,-68.80245684999994,44.56626890000007
REM01339,FORT MANNING,,,MACHIAS,WASHINGTON,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,44.67676398,-67.3799508,-67.37995079999996,44.67676398000003
REM01342,FORT O BRIEN,,,MACHIASPORT,WASHINGTON,FEDERAL FACILITIES,2,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/8/2001,44.689449,-67.395688,-67.39568799999995,44.689449000000025
REM01394,PRESQUE ISLE AFB,,,PRESQUE ISLE,AROOSTOOK,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,46.689195,-68.039343,-68.03934299999997,46.68919500000004
REM01396,PRESQUE ISLE MILITARY FAMILY HOUSING,,,PRESQUE ISLE,AROOSTOOK,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,46.691152,-68.020915,-68.02091499999995,46.691152000000045
REM01398,PRINCETON REGIONAL AIRPORT,,,PRINCETON,WASHINGTON,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,45.2010416,-67.56461552,-67.56461551999996,45.20104160000005
REM01399,NAVASTROGU,ASTRONAUTICS GROUP DETECTION,,GOULDSBORO,HANCOCK,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,44.40393558,-68.01295978,-68.01295977999996,44.40393558000005
REM01400,NAVAL COMMAND TRAINING CAMP,NCTC QUODDY VILLAGE,OFF ROUTE 190,EASTPORT,WASHINGTON,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,44.92957571,-67.02894055,-67.02894054999996,44.92957571000005
REM01401,SERE LANDFILL,SERE SCHOOL,,REDINGTON TWP,FRANKLIN,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,45.004684,-70.424767,-70.42476699999997,45.004684000000054
REM01419,TOPSFIELD GAP FILLER ANNEX Z-65A,,,TOPSFIELD,WASHINGTON,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,45.388582,-67.796896,-67.79689599999995,45.38858200000004
REM01422,BAR HARBOR NAVAL AIR FACILITY,"HANCOCK COUNTY BAR HARBOR AIRPORT, FUDS D01ME0516","CARUSO DRIVE, TRENTON",TRENTON,HANCOCK,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,44.44916995,-68.36118188,-68.36118187999995,44.449169950000055
REM01437,COLUMBIA FALLS AFS,OVER THE HORIZON BACKSCATTER RADAR,,T18 MD BPP,WASHINGTON,FEDERAL FACILITIES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,12/31/1949,44.767961,-67.812964,-67.81296399999997,44.76796100000007
REM01438,CONRADS SALES & SERVICE,,ROUTE 6/15,ABBOT,PISCATAQUIS,VRAP,15.86,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,6/21/2004,45.180848,-69.447821,-69.44782099999998,45.180848000000026
REM01441,SAUCONY PLANT,,99 FARM ROAD,BANGOR,PENOBSCOT,VRAP,5.7,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,10/20/2003,44.78601193,-68.78415941,-68.78415940999997,44.78601193000003
REM01454,GREAT NORTHERN ASSETS,KATAHDIN AVENUE,KATAHDIN AVENUE,EAST MILLINOCKET,PENOBSCOT,VRAP,480,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/23/2003,45.64547723,-68.70757353,-68.70757352999993,45.64547723000004
REM01449,IRVING BULK PLANT,I-22-1998,16 LEONARD STREET,HOULTON,AROOSTOOK,VRAP,1.56,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,10/28/2013,46.12226053,-67.84288096,-67.84288095999995,46.12226053000006
