property_id,property_name,past_uses,property_highlights,city
29121,Mitchell Field Buildings,"Industrial
",Former Use: The property was a former Naval Fuel Depot that operated between the 1950s and 1998.,Harpswell
29122,CB Cummings Mill,NA,"Project successfully completed: ACM removed, hazardous material removed - Property declared ""clean"". Project parcel now under contract to be sold for commercial/residential development. (PPF - Downtown Revitalizatn Corp, ME(C05), 6/23/06)

Former Use: The property was a dowel mill from the late 1800s until 2002.",Norway
29123,Fish Plant Property,"Industrial
","The property operated as a power generating facility between 1914 and 1977. A fish processing plant was also located on the property from 1917 to the present.

Former Use: This property was used as a shellfish processing facility during the 1980's and an electric plant between the 1940's and 1978.",Vinalhaven
29125,YMCA,"Commercial
",Former Use: The property was formerly a YMCA from 1896. The YMCA moved to a new location in town and the City of Bath purchased the property in the late 1990s. The property was partially utilized as a non-profit teen center and skateboard park. The portion of the building that was unused developed structural problems and is now slated to be demolished.,Bath
29141,Gazelle Products,"Industrial
","Gazelle Products manufactured fiberglass truck caps and canoes from the late 1970s until the mid 1980s.

Former Use: The property was used between the late 1970's and the mid 1980's by Gazelle Products for manufacturing fiberglass truck caps and canoes.",China
29142,Industrial Box and Lumber,"Industrial
","Former Use: The property was used to manufacture boxed beginning the early 1900's. In the late 1980's, the facility also treated lumber.",Parsonsfield
29161,Alexsons Cleaners,"Commercial
",The property was a dry cleaners and apartment building from the 1950s until 2002. The building was demolished in April 2020.,Sanford
32163,Route 108 Junkyard,NA,Former Use: operational junkyard until 2004,Rumford
32961,Former Precision Metals,NA,Former Use: machine shop from the 1970's to 2003,Roxbury
32981,Usdan Property,NA,Former Use: paper mill from 1800's-1960's. The building burned down in the 1970's.,Gardiner
33021,"Main Street Junkyard, Bradley",NA,"Former Use: inactive junkyard; the property was owned and operated by Frank Currier, who is now deceased. His heirs abandoned the property.",Bradley
33041,Rolnick Property,NA,"Former Use: car dealership, an auto salvage yard, bottle redemption center",Brewer
36166,Eelweir Site,"Commercial
","The structure at this property dates back to 1950, when it was owned by the Lehr Furniture Company. The furniture store, which was retail and did not include any manufacturing, was opened in 1955. In 1986, Tone-O-Matic, Inc. became the occupant and manufactured and sold tanning beds during the late 1980s. Valley Graphics subsequently occupied the premises until the early to mid 1990s. Valley Graphics provided general printing services and published the weekly Pittsfield Advertiser. The property is currently vacant. The building is in severe disrepair. Low levels of contaminants were found: asbestos-containing building materials; arsenic, chromium and lead in the groundwater; arsenic in the soil (below Maine groundwater leaching standard); and OHM containers in the building. Universal wastes were found. The Town of Pittsfield hopes to demolish the building in order to develop the property. (PPF - Eelweir Property, 3-27-08)

Former Use: Prior to tax lien foreclosure by the Town of Pittsfield for non-payment of taxes, the property was owned by Valley Graphics, a publisher of the Pittsfield Advertiser.",Pittsfield
36422,McCain's Factory,"Industrial
","Former Use: The property has been used for potato processing since the early 1940's. Originally built to do potato starch and later redeveloped to do french fries and then frozen peas and blueberries. This site housed multiple buildings at one time including a potato house, freezer, processing plant, shipping building, well house, guard house, ect. Over the years buildings have been torn down and in 2009 the freezer/cold storage was demolished in a fire. All that remains is the steel skeleton.",Washburn
36441,Robbins Junkyard,"Industrial
",Former Use: The property has been used as a junkyard until the town foreclosed on the property for payment of back taxes.,West Bath
37581,The Old Shipyard,"Industrial
","Redevelopment plans for the property include constructing three residential buildings containing an estimated sixteen condominium units. PPF attached to QR 3, 4/1/06-6/30/06

Former Use: Pictures and historical maps indicate that from the early to mid 1800's into the mid 1900's the Old Shipyard property was once a highly developed shipyard.",Bath
44981,Former Corn Shop,NA,"Central Maine Power has invested 20,000.00 in additional dioxin sampling on the site and will likely require approximately another 20,000 to investigate the area to the West of the Corn Shop building where they stored treated wooden utility poles. Property is for sale with clean-up pending.

Former Use: History: Cannery, Warehousing, Storage, Machine Shop, Vocation Space. Owner: Orville Borrows, J&H Thurston, Minot Packing, Clinton Baxter, Portland Packing, L.M. Longley & Sons.",Norway
45201,Sipayik Corner Store,NA,Former Use: This property was a garage from the 1930's until 1985. The property has operated as a gas station since 1985.,Pleasant Point
45221,Generator House,"Industrial
",Former Use: This building houses three large generators that were used to generate power for the Long Island Fuel Depot.,Long Island
45241,Modern Continental Precast,"Industrial
",Former Use: This property was developed as a WW II airplane hanger. Subsequently the property was used as a concrete precast facility.,Sanford
45261,Eastern Steamship Co,"Greenspace
","Former Use: The property has historically operated as a Steamship company, electroplating shop, pipe shop, coal storage, blacksmith, and lumber yard.",Hallowell
46881,Penley Mill,"Industrial
","On March 12, 2012 began talks with Andre Vandenbulcke of AAH Fireworks, LLC of Seabrook, New Hampshire to purchase the former Penley Mill located in West Paris, Maine. The talks culminated in a 2.0 hour meeting that took place on March 16, 2012 in Falmouth, Maine and was attended by Andre Vandenbulcke of AAH Fireworks, Wilkes Harper of the Maine DEP and Rich Campbell of Campbell Environmental Group. The meeting topic focused on the environmental issues associated with the mill and the procedure to gain liability protection. AAH Fireworks is currently (Fall 2012) leasing part of the building for a retail store and are planning to buy the whole place which, according to the owner Bill Birney, may take place in the summer. In January 2013 the former Penley Mill was destroyed by fire. The fireworks warehouse was saved as was the retail fireworks store. AAH fireworks opened the retail store on June 22, 2012 and renovated the warehouse where they stored the wholesale fireworks they imported from China.

Former Use: Historically a clothes pin manufacturing facility and currently indoor and bulk self-storage. Past owners: Penley Corp,. William and Karen Birney K.B. Management LLC.",West Paris
46901,Joneco,NA,"Property owner gifted this land to the Town of Kingfield late 2012 with the exception of two acres including and immediately adjacent to the Mill building. The town uses the property for green space including a ball field.Owner intends to re-develop the 2 acre Mill site into an assisted living center. The building was donated to the towns volunteer Fire Department to be burned for training purposes.

Former Use: Historically a spool and bobbin factory. Past owners: Herbert Wing/Huse Bull Spool & Bobbin, Pearson Wood Products/Wing Spool & Bobbin, Frederick Jones, Richard Keenen",Kingfield
52661,"Millyard Road Map J29, Lot 17F","Greenspace
","The brownfield property is located along a potential riverwalk of the Mousam River in a downtown mill area. PPF - Riverwalk 2 Map J29, Lot 17E, 6/6/07

Former Use: Vacant parcel of land abutted by the Mousam River & High Street.",Sanford
52721,"Riverwalk 7 Map J30, Lot 44A","Commercial
","The brownfield property is located along a potential riverwalk of the Mousam River in a downtown mill area. PPF - Riverwalk 7 Map J30, Lot 44A, 6/6/07

Former Use: Vacant parcel of land with no road frontage and does not abut the Mousam River.",Sanford
52722,Stone Lot 6 (RW-7A),NA,"The brownfield property is located along a potential riverwalk of the Mousam River in a downtown mill area. PPF - Riverwalk 7A Map I30, Lot 6, 6/6/07. The City of Sanford conducted an initial assessment in 2006/2007 and is currently evaluating the property for acquisition to support flooding mitigation and resiliency measures and a possible river walk/recreational area

Former Use: Land abutting the Mousam River, with frontage on Emery Street. Part of future riverwalk property",Sanford
53621,Flatiron Building,NA,"Former Use: The Flatiron Building was constructed in 1926 as a high school, and was used as such until 2006, whena replacement school was built elsewhere in Augusta.",Augusta
54741,Aroostook Milling Co.- 16 Buffalo,"Industrial
",Former Use: This parcel was used for grain storage for the Aroostook Milling Co.,Houlton
54941,Aroostook Milling Co. - 5 Hillview,"Commercial
",Former Use: This property was used as a retail outlet and for manufacturing and storage of animal feed products.,Houlton
54944,Aroostook Milling Co.- 1 Phyllis,"Commercial
",Former Use: This property was used for grain storage for the Aroostook Milling Co.,Houlton
54961,Saccarappa Park/ Haskall  Silk Mill,"Industrial
","Former Use: The property is currently vacant, while the history was industrial. Ownership was private. (PPF, 7/26/2007)",Westbrook
55021,Larson's Auto Body,NA,Former Use: Property has been used as an auto scrap yard.,Westbrook
55181,Commercial Street Freight Shed Property,"Commercial
","The property owner plans to demolish the structure on the property and sell the property. (PPF - Commercial Street Freight Shed Property, 8/9/07)

Former Use: The current and former structures on the property historically were used for freight storage since 1901. A railroad repair facility occupied the property prior to 1901.",Bath
57561,Moosehead Manufacturing Co. - Lot 1,NA,"The former Moosehead Manufacturing Co. Mill Site encompasses a total of approximately 2 acres and currently consists of Map 36, Lots 1 and 4 under the MEDEP assessment program and 1B for assessment and cleanup purposes. The assessment funding under this grant was divided equally between the 2 lots. Supplemental assessments have included a Hazardous Material Inventory HMI of hazardous building materials and a boundary survey.

Former Use: The Site was originally developed as a woolen mill in the late 1800s until the 1950s, when it was purchased by Moosehead Manufacturing Co., a furniture manufacturer. The furniture mill operated until June 2007, when operations were shut down. The Site is currently vacant and is owned by Pine Crest Development Corporation. MEDEP Interim Cleanup Status Letter Issued 4/30/14 for completed cleanup work under Pine Crest Brownfields Cleanup Grants and PCEDC RLF Subgrant to Pine Crest. Property was purchased by Mayo Mill Holding's LLC and additional cleanup of acm is needed. additional EPA Brownfields Cleanup loan funds were obtained from DECD, PCEDC and NMDC.",Dover-Foxcroft
57562,Sheldon Street School,"Commercial
",NA,Farmingdale
57564,Northern Plaza,"Commercial
",NA,Millinocket
62441,Bonville Property,"Industrial
",Former Use: This property was formerly a railroad spur for Bangor and Aroostook Railroad. The property contained bulk petroleum storage tanks and warehouses.,Presque Isle
62461,Haines Manufacturing Co,"Commercial
",Former Use: This property was formerly used for a spur of the Bangor and Aroostook Railroad. The site was also used for warehousing of agricultural chemicals.,Presque Isle
62481,Lavway Property,"Commercial
",Former Use: This property has most recently been a hardware store. Currently the property is vacant.,Presque Isle
62501,Webber Oil,"Commercial
",Former Use: This property was formerly a bulk petroleum storage facility.,Presque Isle
62641,Waterville Industries,"Industrial
",NA,Waterville
68841,Riverdam Mill,NA,"The former Riverdam Mill contains five multi-story masonry buildings that have been cleaned up and redeveloped in a phased-approach over time.  Building 1 was redeveloped as the Mill at Saco Falls, Building 2 was redeveloped as the Lofts at Saco Falls, and Buildings 3 and 4 were redeveloped by Draft Room LLC.

Former Use: Prior to redevelopment, the mill buildings were most recently in use as leased space for small commercial businesses including light manufacturing, wood products, and artisans as well as storage space. Pepperell Manufacturing Company, a cotton textile mill, historically occupied the site from as early as mid 1800s through the late 1970?s. This entire former Riverdam mill has now been redeveloped for mixed commercial and residential housing.",Biddeford
68861,North Dam Mill,"Commercial
, Industrial
","Former Use: Pepperell Manufacturing Company, a cotton textile manufacturer, historically occupied the subject property from as early as mid 1800s through the 1970?s. The property contains three five-story, and one two-story interconnected masonry buildings that provide approximately 200,000 square-feet of space for numerous types of small businesses including manufacturing, woodworking, artisan shops, and storage space.",Biddeford
68881,Lincoln Mill,NA,"The Lincoln Mill currently houses the last traditional woolen yarn manufacturer in Maine and formerly housed the power generating turbines for the majority of the Biddeford Mill District.

Former Use: The property contains one five-story 233,000 square foot mill building currently in use as leased space for small businesses including building woodworkers and artisans as well as storage space. Pepperell Manufacturing Company, a cotton textile mill, historically occupied the site from as early as 1885 through the late-1970?s.",Biddeford
68921,Saco Steel,NA,"Former Use: The Saco Steel site is located at 29 Lund Road and is currently owned by the City of Saco. The site is comprised of one 7.6-acre parcel that is identified by the City of Saco Assessor’s Office as Map 70, Lot 4. The site was abandoned by the previous owner, Earth Waste Systems EWS, prior to the City of Saco’s foreclosure in January 2007. The Saco Steel site is currently vacant and consists of the former main facility building on the western portion of the site, the former shear building on the central portion of the site, a capped contaminated/residual waste area in the northern central portion of the site, railroad tracks that transect the eastern portion of the site, a storm water treatment/sedimentation pond in the eastern portion of the site, paved or concrete driveway/parking areas, and vegetative areas along the perimeter of the site. According to historical records, the site was developed with the main facility building in 1978. Prior to 1978, the site was comprised of undeveloped wooded land. Saco Steel occupied the site and operated a metal recycling facility from 1979 to 1997, at which time EWS obtained the property. Site operations included scrap metal sorting and recycling as well as the crushing and processing of out-of-service automobiles automobile recycling. EWS subsequently abandoned the property, and the City of Saco acquired the site in January 2007.",Saco
68961,Stenton Trust Goodall Worsted,NA,"2 tower mill building with sawtooth roof between towers. Former Use: The Stenton Trust Mill and adjacent parcels were developed as early as 1892 by the Goodall Worsted Company for use as a textile mill. Several dwellings, tenements, store houses, and mill outbuildings occupied the Site from the late 1800s until the early 1920s, at which time the modern dual-tower mill structure was built. From west to east, the structure consisted of Tower A, Section B, Tower C, and Section D. A loading dock was present along the northern end of the structure. Currently, only Tower A and the basement of the remaining portions of the building remain. A garage has been present in the northern portion of the Site since at least 1930. A boiler house was formerly present in the eastern portion of the Site and was demolished at an unknown date. The boiler house was fueled by a 550,000-gallon fuel oil UST located on the eastern abutting property, which was formerly part of the Goodall Worsted mill property. The Site operated as the Goodall Worsted mill until the late 1950s, at which time Stenton Trust obtained the property. Gateway Properties, LLC purchased the property in 1999 and the mill structure was occupied by various small businesses until the 2000s. Tower C was destroyed by a fire in 2017, and EPA conducted a removal action in 2019. Only Tower A remains.",Sanford
72601,Former Cascade Woolen MIll,"Industrial
","The property had previously been a woolen mill, operating along the bank of the Messalonskee Stream. It had been vacant for some time before the present occupant, K-D Design and Display, set up a small sign manufacturing business. That business would like to develop more of the property to be able to expand its operations. (PPF - Former Cascade Woolen Mill, 3-27-08)

Former Use: This property abuts the Messalonskee Stream and was the former Cascade Woolen Mill that closed in 1995. The current tenant, K-D Display and Designs opened in 1999. PPF - Former Cascade Woolen Mill, 3-27-08",Oakland
75021,Children's Discovery Museum,"Commercial
",Former Use: This site was formerly an armory and city garage. The Caribou Children's Discovery Museum has purchased the property.,Caribou
75022,Webster's Mill,NA,"Former Use: The Webster?s Mill property is comprised of a single parcel of land which exists at the confluence of the Penobscot and Stillwater rivers. The property is occupied by an approximately 54,400 square foot building that was constructed as the E. & J. F. Webster Saw Mill in the early 1880s. The structure was utilized for a variety of manufacturing with the most recent being as the Striar Woolen Mill that closed in the mid 1990's.",Orono
80721,Steve's Cycle & Marine,"Commercial
","This commercial property was recently purchased by NAPA-Roy Auto Parts in Fort Kent, Maine. NAPA-Roy Auto Parts is an automobile parts business who owns the adjacent property to the north. At this time, there is no current development at the Site but potential reuse of this property may be the construction of a storage warehouse.

Former Use: From 1926 to 1940s or 1950s, the site was used for auto sales and later as a gasoline station with at least two underground gasoline tanks. From 1989 to 2007, the site was used as a small engine repair shop.",Fort Kent
80941,RLC Northern Enterprises,"Industrial
","This property is in a very desirable commercial location, with active adjacent railroad tracks. The on site warehouse structure is constructed of wood that could be reclaimed for its reuse value. The building has been unused since 2004. The property was recently sold to the adjacent property to the south. This property is owned and operated by a logging company who now uses the subject property for log truck parking.

Former Use: The property was used as a fertilizer mixing plant that also stored herbicides, pesticides, insecticides, & fungicides from 1946 to around 1980. It was owned by the Aroostook Federation of Farmers and later Agway. There was also an aboveground petroleum bulk plant located on an adjacent parcel, which was separated from this property in 1974, with an underground pipeline from the railroad tracks to the tanks, located approximately 2 feet from the property boundary. An equipment repair garage was also previously located on site.",Fort Kent
80961,Rod's Service,"Commercial
, Residential
","This commercial property is located in a small town with few other commercial properties on the very heavily traveled main highway to all northern Maine towns. The current property owner stopped selling gasoline in 1999, had all underground tanks removed in 2007, and is interested in selling the property. Phase I and II ESAs at this historical gasoline station/repair garage will greatly assist with reuse or redevelopment of this currently unused property.

Former Use: This property has been a gasoline station and vehicle repair garage since at least 1964, possibly back to the late 1950s, with underground storage tanks USTs for gasoline. The property has not been active since 1999 the existing on site USTs were removed in 2007 and some petroleum contaminated soil was found during removal. No assessment regarding potential impacts from the maintenance garage has been conducted. There is a residential apartment over the garage, on the second floor of the on site building.",Bridgewater
83421,Lisbon Teen Center,"Commercial
",NA,Lisbon Falls
83441,Former Bell's Service Station,"Commercial
",Former Use: This site was a gas station dating back to the 1940's.,Houlton
83461,American Tissue - Parcel 1,"Industrial
","Buildings demolished and removed from property from June - October 2009. During this time asbestos removed and disposed of appropriately under funding from City of Augusta.

Former Use: This property has operated as a paper mill since 1900. Property taken by City of Augusta March 2009 for back taxes. All structures demolished and removed from property by October 2009.",Augusta
83481,Maine Leathers - Lot 10,NA,"The Maine Leathers Site consists of 3 parcels, Map 11, Lots 10 and 11 and Map 34, Lot 87 encompassing a total of approximately 40 acres. The Subject Property, Map 11, Lot 10 encompasses approximately 10 of the approximate 40 total acres. The assessment funding for this site under this grant was divided evenly between the 3 parcels Map 11, Lots 10 and 11 and Map 34, Lot 87.

Former Use: This property is a portion of the Former Maine Leathers Tannery Site which includes the waste lagoons and disposal pits. The former Maine Leathers Tannery Site encompasses approximately 40 acres and was operated as a woolen mill through several owners from 1829, until the mill was shutdown in 1953. In 1955, the property was converted to a tannery, which was operated by Maine Leathers under various owners until it closed in 1975. Three tannery settling lagoons and nine sludge pits are located on the subject property. During tannery operations, tannery effluent discharges, which included spent tanning and cleaning solutions, sludge, hair, hide scraps, and tallow, were discharged into the lagoon system. The Site is currently owned by the Town of Dover-Foxcroft.",Dover-Foxcroft
83501,Brown's Mill,NA,"Former Use: The Subject Property was historically operated as a woolen mill from approximately 1829 to 1955 under the names Piscataquis Manufacturing Company, Dover Woolen Factory, and American Woolen Co. Brown Mill. The mill was subsequently converted to a tannery, and tannery operations commenced in 1956. Tannery operations were conducted by Maine Leathers until 1970, at which time the Subject Property was acquired by the Piscataquis Development Corporation. The Subject Property is currently owned by Charles Fitzgerald and Bethanne Ragaglia. The Subject Property Map 34, Lot 88 contains the mill buildings, which were once part of the woolen mill and tannery.",Dover-Foxcroft
85981,Aerofab - Parcel 19A,NA,"The work preformed for this site included an update Phase I ESA. The Maine DEP conducted a Phase II ESA, however, the information has not been entered into ACRES at this time. The Town took ownership of the property on June 25, 2009. Former Use: Parcels around the site are used in industrial woolen mill and residential applications. Historic maps of the mill complex presented in The Bicentennial History of Sanford show the site undeveloped in 1872 and developed with a ?Print Shop? in 1890 and 1942. The Historical Sanborn Maps show the Site improved with mill buildings from 1892 through 1964. The site is used for fabrication of aircraft components under the current owner, Aerofab Inc.,",Sanford
88181,Downtown Milo- Ettinger Property,"Commercial
",Former Use: This parcel was most recently a pub and was one of six buisnesses that were destroyed in a fire.,Milo
88201,Downtown Milo- Haley,"Commercial
",Former Use: This property was most recently a flower shop which was one of six buisnesses destroyed by a fire.,Milo
88221,Downtown Milo- Robshaw,"Commercial
",Former Use: This parcel was one of six businesses in downtown Milo that was destroyed by a fire.,Milo
88241,Downtown Milo- Rodriguez,"Commercial
",Former Use: This was one of six buisnesses in Milo that were destroyed in a fire.,Milo
88242,Downtown Milo- Crossman,"Commercial
",Former Use: This parcel was previously a hardware store.,Milo
88243,Downtown Milo- Saviolakis,"Commercial
",Former Use: This is one of six properties in Milo that were destroyed in a fire.,Milo
90461,Mapleton Auto Repair & Sales,"Industrial
","This property adjoins the Northern Maine Regional Airport and has had interest from a truss company for development. A Phase II ESA was conducted in June 2009 to determine if the previous junkyard, car crushing and auto body shop activities had impacted the Site media. Diesel range organics DRO was detected in a temporary monitoring well installed during the Phase II ESA. However, personnel from the Maine Department of Environmental Protection MDEP re-sampled this location for Volatile Petroleum Hydrocarbons VPH and Extractable Petroleum Hydrocarbons EPH in November 2009 neither contaminant was detected. Additionally, none of the adjacent private wells sampled during initial Phase II ESA activities were impacted. MDEP concluded that ""there is little or no risk posed by the subject site to the area water supplies"" and ""additional investigation into the former junkyard operations are not warranted."" A Maine DEP Voluntary Response Action Program VRAP application was submitted by the property owner. Maine DEP VRAP personnel reviewed the application materials and determined that no further action at the site was necessary.

Former Use: This property was formerly a junkyard with auto crushing and auto body shop activities since the late 1960s. The northern portion of the site abuts the Northern Maine Regional Airport and is wooded and undeveloped. There is currently a two-car maintenance garage on site served by a private water supply well and septic system.",Mapleton
90481,J.J. Paradis Co. Inc.,"Industrial
","This site is located on a main highway near the center of Van Buren. There are currently no structures on site and the property could readily be redeveloped. The current owner would like to sell the property. A Phase II ESA was conducted privately at the Site in August 2011 and a Maine Department of Environmental Protection Voluntary Response Action Program (VRAP) No Action Assurance letter has been provided.

Former Use: This property was a bulk petroleum storage plant with aboveground tanks from 1953 to the late 1990s.",Van Buren
91483,Maple Street Park,"Industrial
",Former Use: This site operated as a junkyard from the mid 1900's until the 1990's. The site was remediated by capping soil contaminated with lead and PCBs and turned into a park. In 2004 the City discoved an area of contamination that was not addressed in the intial remediation.,Brewer
91502,Gooseberry Barn,"Commercial
, Residential
","This property is significant to the City because it is located on a prime commercial highway and adjacent to an elementary school. Because of previous use of the property for landscaping and the type of stored materials, the City was concerned that marketing the site would be difficult without addressing potential environmental issues. It is anticipated it will be reused for two purposes. First, the size of the school property is limited, and it is in need of expanded space. A portion of this land is expected to be provided to the school for parking. The size of the remaining lot and the location will make it ideal for sale to a commercial entertrise. As of 9/30/10, Bedard Pharmacy has received all required permits and expect a closing by 10/15/10. The redevelopment value is estimated at 4.5 million in private funds. Construction is underway on a commercial 36,000 square foot building, the first of four planned buildings associated with the Bedard Medical Campus",Auburn
91521,The Barn,"Commercial
","This property is located on one of the primary entrances to downtown Auburn from the Maine Turnpike. It is approximately 10' from the road right of way, and the deteriorated condition of the exterior is a visible detriment to the community's image, and discourages investment in this neighborhood as well as the downtown. The structure, however, is in sound condition and could be productively reused. The City is hopeful of a commercial development that would capitalize on the size and potential of the building and upgrade the exterior condition.

Former Use: This 5 story, 141,324 square foot building was constructed between 1908-1914 to be used for shoe manufacturing. It was used by various shoe manufacturers until 1988 when it was sold for a discount furniture retailer, and most recently as a wholesale retail business selling office furniture, household, and clothing items.",Auburn
91523,Godin's Auto,"Commercial
","The Godin used car property is adjacent to a much larger manufacturing building, The City and owner have been working with a potential development for both properties. They are in the heart of the City and at a primary gateway. The cleanup and redevelopment would have a significant impact on the upgrade of the downtown, and a positive effect on the appearance of the City's economic strength.

Former Use: This 1,792 square foot building is located on 1.02 acres. The former gasoline service station is currently used for auto sales of used vehicles. It was constructed around 1950.",Auburn
94921,Stone & Stone Millyard Roadway,"Commercial
","Monies were used to create a walkway and roadway through an historic millyard to provide access for future development

Former Use: The site is located on a portion of a DEP listed property. Future use of the 1 acre portion of the property is as a roadway through the existing mill complex. The Town will acquire the roadway in the future.",Sanford
94922,Sanford Mill,"Commercial
","Former Use: The property was formerly referred to as the Goodall Manufacturing Company, a manufacturer of blankets, curtains, and fabrics. Other tenants included Eastern Plastic Corporation a manufacturer of plastic heels, a company that manufactured light bulbs and a plastics manufacturer. The Town of Sanford took the property for back taxes in December 2008. The Town conducted Brownfields cleanup activities at the site from 2009-2011 with funding support from a cleanup grant from EPA and and RLF subgrant from Southern Maine Regional Planning Commission SMRPC. Pursuant to a redevelopment agreement, the Town sold the property to Northland Enterprises in November 2011. Northland secured a loan from SMRPC to fund the remaining cleanup activities during the redevelopment phsae.",Sanford
