SITE NUMBER,SITE NAME,SITE ALIAS,STREET ADDRESS,TOWN,COUNTY,PROGRAM,AREA-ACRES,IC CONTROLS,STATUS,SUBSTATUS,STATUS DATE,LATITUDE,LONGITUDE,x,y
REM00876,"MILMAC, INC.",,BANGOR ROAD,UNITY,WALDO,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,5/20/2008,44.61813513,-69.33560086,-69.33560085999994,44.61813513000004
REM00878,VAN BUREN-MADAWASKA CORP,,ROUTE 1,VAN BUREN,AROOSTOOK,UNCONTROLLED SITES,25,FALSE,INVESTIGATION STAGE,ONGOING,5/15/1990,47.1892235,-67.95585821,-67.95585820999997,47.189223500000026
REM00879,RRAS,,ROUTE 32,VASSALBORO,KENNEBEC,UNCONTROLLED SITES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,4/5/2009,44.45857894,-69.61227108,-69.61227107999997,44.45857894000005
REM00880,GTE PRODUCTS COMPANY,,FRIENDSHIP STREET,WALDOBORO,LINCOLN,UNCONTROLLED SITES,27,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/20/2009,44.08480708,-69.37587916,-69.37587915999995,44.084807080000076
REM00882,GEORGE A. CALDWELL CO,,ROUTE 32,WALDOBORO,LINCOLN,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,4/5/2009,44.14741526,-69.4175613,-69.41756129999999,44.14741526000006
REM00883,MAINE MARINE,DIS #161,ROUTE 32,WALDOBORO,LINCOLN,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,4/5/2009,44.10216504,-69.38859869,-69.38859868999998,44.102165040000045
REM00884,STETSON SAAB SALES,"DIS #244,MONROE CONSTRUCTION",1174 EASTERN RD (ROUTE 131),WARREN,KNOX,UNCONTROLLED SITES,5,FALSE,INVESTIGATION STAGE,ONGOING,5/15/2023,44.15356153,-69.2412819,-69.24128189999993,44.15356153000005
REM00885,BOLDUC MINIMUM SECURITY UNIT,DIS #210,ROUTE 97 (ME STATE PRISON),WARREN,KNOX,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,4/5/2009,44.06765476,-69.21825018,-69.21825017999998,44.06765476000004
REM00887,WASHINGTON DOT LOT,,ROUTE 17,WASHINGTON,KNOX,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,12/31/1949,44.23186234,-69.34878622,-69.34878621999997,44.23186234000008
REM00888,WATERBORO PATENT WASTE LAGOONS,,132 BENNETT HILL ROAD,WATERBORO,YORK,UNCONTROLLED SITES,100,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,10/18/2015,43.580511,-70.673804,-70.67380399999996,43.58051100000006
REM00889,WATERBORO PATENT CORPORATION,,CORNER MAY & GOODWIN MILL RD,WATERBORO,YORK,UNCONTROLLED SITES,20,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,12/2/2007,43.53387874,-70.71367933,-70.71367932999993,43.533878740000034
REM00890,SO. MAINE FINISHING CORP.,SOUTHERN MAINE FINISHING,ROUTE 5,WATERBORO,YORK,UNCONTROLLED SITES,45,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,6/28/1999,43.574717,-70.687271,-70.68727099999995,43.57471700000008
REM00891,RICARD'S GRAVEL PIT,,ROUTE 5 (ALFRED ROAD),WATERBORO,YORK,UNCONTROLLED SITES,118,FALSE,REMEDIATION STAGE,NEED (AWAITING RESOURCES),6/15/2005,43.57926562,-70.70068445,-70.70068444999998,43.57926562000006
REM00892,LITTLE OSSIPEE POND,DISC #211,SILAS BROWN ROAD,WATERBORO,YORK,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,12/31/1949,43.6234951,-70.72312641,-70.72312640999996,43.62349510000007
REM00893,LEWIS WOLMAN CO.,,41 HIGH STREET,WATERVILLE,KENNEBEC,UNCONTROLLED SITES,2,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,3/14/2006,44.5634901,-69.63136817,-69.63136816999997,44.56349010000008
REM00895,BROOKSIDE SCHOOL,DIS#219,DRUMMOND AVENUE,WATERVILLE,KENNEBEC,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,4/5/2009,44.566715,-69.632763,-69.63276299999995,44.566715000000045
REM00896,WATERVILLE GAS WORKS,,ROUTE 210 & COLLEGE AVE,WATERVILLE,KENNEBEC,UNCONTROLLED SITES,1.4,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,10/31/2010,44.57395591,-69.61300185,-69.61300184999993,44.57395591000005
REM00896,WATERVILLE GAS WORKS,,ROUTE 210 & COLLEGE AVE,WATERVILLE,KENNEBEC,VRAP,1.4,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,10/31/2010,44.57395591,-69.61300185,-69.61300184999993,44.57395591000005
REM00898,TILCON ASPHALT PLANT,PIKE INDUSTRIES,81 BOYD ROAD,WELLS,YORK,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/5/2009,43.303539,-70.70184,-70.70183999999995,43.30353900000006
REM00899,W.A. MESSER,DIS#124,170 WARREN AVENUE,WESTBROOK,CUMBERLAND,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/6/2009,43.685325,-70.341209,-70.34120899999994,43.685325000000034
REM00900,DATA GENERAL CORPORATION,IDEXX,80 EISENHOWER DRIVE,WESTBROOK,CUMBERLAND,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,5/20/2008,43.66202855,-70.37478726,-70.37478725999995,43.66202855000006
REM00901,S.D. WARREN DIVISION OF SCOTT PAPER,"KIMBERLY CLARK, SAPPI",89 CUMBERLAND STREET,WESTBROOK,CUMBERLAND,UNCONTROLLED SITES,,TRUE,REMEDIATION STAGE,ONGOING,1/23/2019,43.685424,-70.353097,-70.35309699999993,43.68542400000007
REM00902,SACO & BERNADETTE ST. SCHOOL,DIS#229),BERNADETTE STREET,WESTBROOK,CUMBERLAND,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/6/2009,43.671959,-70.377149,-70.37714899999997,43.67195900000007
REM00903,ADJACENT HIGHLAND LAKE CEMETARY,DIS #209,ROUTE 302,WESTBROOK,CUMBERLAND,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/6/2009,43.742118,-70.350747,-70.35074699999996,43.74211800000006
REM00904,TRAINOR CORNER,,ROUTE 126 AND HUNTS MEADOW RD.,WHITEFIELD,LINCOLN,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1/5/2009,44.22015174,-69.65869732,-69.65869731999999,44.22015174000006
REM00906,ROUTE 115,DIS #228,CORNER RT. 115 & BRAND KNIGHT,WINDHAM,CUMBERLAND,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,5/22/2008,43.843077,-70.400723,-70.40072299999997,43.84307700000005
REM00908,MAINE CORRECTIONAL CENTER,,RIVER ROAD,WINDHAM,CUMBERLAND,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,5/22/2008,43.72507238,-70.41303645,-70.41303644999994,43.72507238000003
REM00910,SCOTT PAPER COMPANY,KRDP (KENNEBEC RIVER DEVELOPMENT PARK),MILL ROAD,WINSLOW,KENNEBEC,UNCONTROLLED SITES,,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,9/14/2016,44.5551531,-69.62397684,-69.62397683999995,44.55515310000004
REM00911,WINSLOW TOWN LANDFILL,REYNOLDS DUMP;,REYNOLDS ROAD,WINSLOW,KENNEBEC,UNCONTROLLED SITES,,FALSE,REMEDIATION STAGE,NEED (AWAITING RESOURCES),2/16/2017,44.50129721,-69.59409102,-69.59409101999995,44.501297210000075
REM00912,VIGUE PROPERTY,,ROUTE 137,WINSLOW,KENNEBEC,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,4/6/2009,44.5375412,-69.62810213,-69.62810212999995,44.53754120000008
REM00913,NAVAL SECURITY GROUP ACTIVITY,FUD SITE D01ME0159 (D01ME0160 IS THE SAME SITE AS DETERMINED BY USACE),ROUTE 186,WINTER HARBOR,HANCOCK,FEDERAL FACILITIES,177.82,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,9/29/1994,44.33612505,-68.06248815,-68.06248814999998,44.33612505000008
REM00913,NAVAL SECURITY GROUP ACTIVITY,FUD SITE D01ME0159 (D01ME0160 IS THE SAME SITE AS DETERMINED BY USACE),ROUTE 186,WINTER HARBOR,HANCOCK,UNCONTROLLED SITES,177.82,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,9/29/1994,44.33612505,-68.06248815,-68.06248814999998,44.33612505000008
REM00915,PROGRESSIVE IRON WORKS,,WESTERN AVENUE,WINTHROP,KENNEBEC,UNCONTROLLED SITES,,FALSE,COMPLAINT INVESTIGATED,UNSUBSTANTIATED,4/6/2009,44.299494,-69.979518,-69.97951799999998,44.29949400000004
REM00916,SEAWAY BOATS,,1109 ME-100,WINTHROP,KENNEBEC,UNCONTROLLED SITES,2.85,FALSE,REMEDIATION STAGE,ONGOING,9/9/1998,44.279136,-70.004501,-70.00450099999995,44.27913600000005
REM00918,OLD BONAFIDE INDUSTRIES DUMP,,ROYAL STREET,WINTHROP,KENNEBEC,UNCONTROLLED SITES,7.4,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,3/6/2001,44.301488,-69.977312,-69.97731199999998,44.30148800000006
REM00919,TURKEY  LANE,DIS#276,"TURKEY LANE (FR T6, JACOBS LN)",WINTHROP,KENNEBEC,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/6/2009,44.30935874,-70.00037814,-70.00037813999995,44.30935874000005
REM00920,HUNT COMPANY,HUNT LUMBER COMPANY,GARDINER ROAD,WISCASSET,LINCOLN,UNCONTROLLED SITES,31.6,FALSE,INVESTIGATION STAGE,NEED (AWAITING RESOURCES),2/6/2025,44.04025194,-69.67376085,-69.67376084999995,44.040251940000076
REM00922,PETERSONS FARM STORE,,COLBY ROAD (COLBY),WOODLAND,AROOSTOOK,UNCONTROLLED SITES,1,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,5/20/2008,46.89477329,-68.13530872,-68.13530871999995,46.894773290000046
REM00923,JOHNNY'S APPLIANCE,,ROUTE 1,WOOLWICH,SAGADAHOC,UNCONTROLLED SITES,,FALSE,COMPLAINT INVESTIGATED,UNSUBSTANTIATED,8/6/1987,43.9169256,-69.80216192,-69.80216191999995,43.91692560000007
REM00924,WOOLWICH TEXACO,DIS #165,ROUTE 1,WOOLWICH,SAGADAHOC,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,4/6/2009,43.91312182,-69.80105632,-69.80105631999999,43.91312182000007
REM00925,BARREN AREA,DIS#230,NO LOCATION,WYMAN TWP,FRANKLIN,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/6/2009,45.111707,-70.371676,-70.37167599999998,45.11170700000008
REM00926,D & S CORPORATION 2,RAILROAD SQUARE,48 RAILROAD SQUARE,YARMOUTH,CUMBERLAND,UNCONTROLLED SITES,4.4,FALSE,REMEDIATION STAGE,NEED (AWAITING RESOURCES),1/9/2019,43.800403,-70.191487,-70.19148699999994,43.800403000000074
REM00927,GIBSON CONTRACTORS,DIS #159,COUSINS ISLAND,YARMOUTH,CUMBERLAND,UNCONTROLLED SITES,,FALSE,COMPLAINT INVESTIGATED,UNSUBSTANTIATED,8/22/1988,43.752076,-70.155319,-70.15531899999996,43.752076000000045
REM00928,MERCURY SPILL,,ELM STREET,YARMOUTH,CUMBERLAND,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/6/2009,43.80802077,-70.18982744,-70.18982743999999,43.80802077000004
REM00929,NEW ENGLAND POLE & TREATING,,SLIGO ROAD,YARMOUTH,CUMBERLAND,UNCONTROLLED SITES,3,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,5/20/2008,43.811739,-70.204233,-70.20423299999999,43.811739000000046
REM00930,N.E. DEMOLITION,DISC #173,ROUTE 1 (CAPE NEDDICK),YORK,YORK,UNCONTROLLED SITES,,FALSE,COMPLAINT INVESTIGATED,UNSUBSTANTIATED,4/13/2006,43.171319,-70.609678,-70.60967799999997,43.17131900000004
REM00931,ALFRED GETTY,,70 SANFORD ROAD,ALFRED,YORK,VRAP,0.34,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,12/17/2002,43.468771,-70.725883,-70.72588299999995,43.46877100000006
REM00933,FORMER FIBERGLASS PRODUCTS,,1400 HOTEL ROAD,AUBURN,ANDROSCOGGIN,VRAP,17.9,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,7/10/2002,44.08455039,-70.26107208,-70.26107207999996,44.08455039000006
REM00935,GREAT FALLS PLAZA,,TURNER STREET,AUBURN,ANDROSCOGGIN,VRAP,7.34,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,11/16/2000,44.098675,-70.22425,-70.22424999999998,44.09867500000007
REM00936,JIMMY'S EXXON,,150 MINOT AVENUE,AUBURN,ANDROSCOGGIN,VRAP,0.8,FALSE,REMEDIATION STAGE,NEED (AWAITING RESOURCES),11/20/2017,44.09238954,-70.23031442,-70.23031441999996,44.092389540000056
REM00937,OAF,OPPORTUNITY ACQUISITION FUND,8 UNION STREET,AUBURN,ANDROSCOGGIN,VRAP,1.34,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/22/1998,44.098258,-70.23204,-70.23203999999998,44.098258000000044
REM00939,"RILEY MEDICAL, INC.",,27 WRIGHTS LANDING,AUBURN,ANDROSCOGGIN,VRAP,5,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,9/4/2024,44.04799543,-70.2924965,-70.29249649999997,44.04799543000007
REM00940,VPJ COMPANY,,TURNER STREET & AUBURN AVENUE,AUBURN,ANDROSCOGGIN,VRAP,14.55,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,10/2/2002,44.11950948,-70.23256794,-70.23256793999997,44.11950948000003
REM00941,APPLEBEE'S,,CAPITOL SHOPPING CENTER,AUGUSTA,KENNEBEC,VRAP,1,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,9/4/2001,44.31235182,-69.7925821,-69.79258209999995,44.31235182000006
REM00943,BANGOR/BELFAST PROPERTIES,RITE AID,CORNER OF BANGOR STREET & NORTH BELFAST AVENUE,AUGUSTA,KENNEBEC,VRAP,3.2,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,12/23/1998,44.324595,-69.76338,-69.76337999999998,44.324595000000045
REM00945,CHRISTYS 342,,31 WESTERN AVENUE,AUGUSTA,KENNEBEC,VRAP,0.23,TRUE,TRANSFERRED TO OTHER DIVISION,OIL,4/26/2016,44.31136545,-69.78294045,-69.78294044999996,44.31136545000004
REM00946,GLENRIDGE APARTMENTS,,"54, 55, 63, 70, 75 & 78 GLENRIDGE DRIVE",AUGUSTA,KENNEBEC,VRAP,14.67,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,3/9/2003,44.30296114,-69.75829029,-69.75829028999993,44.302961140000036
REM00947,LIPMAN POULTRY PROCESSING,,184 RIVERSIDE DRIVE,AUGUSTA,KENNEBEC,VRAP,4.27,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,11/5/1996,44.32950956,-69.76357689,-69.76357688999997,44.329509560000076
REM00948,TURNPIKE MALL,,10 WHITTEN ROAD,AUGUSTA,KENNEBEC,VRAP,17.8,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2/6/2002,44.31476614,-69.81507541,-69.81507540999996,44.314766140000074
REM00949,201 MAIN STREET,QV REALTY TRUST,201 MAIN STREET,BANGOR,PENOBSCOT,VRAP,1,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2/13/1996,44.79762434,-68.77354546,-68.77354545999998,44.79762434000003
REM00950,317 MAIN STREET,,317-321 MAIN STREET,BANGOR,PENOBSCOT,VRAP,,TRUE,REMEDIATION STAGE,NEED (AWAITING RESOURCES),6/23/2015,44.79525673,-68.77472552,-68.77472551999995,44.79525673000006
REM00951,"BANGOR PIPE & SUPPLY, INC.",,54-69 FARM ROAD,BANGOR,PENOBSCOT,VRAP,3.8,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,7/11/1999,44.78570864,-68.7824886,-68.78248859999997,44.78570864000005
REM00954,FORMER DARLINGS' NISSAN,,366 GRIFFIN ROAD,BANGOR,PENOBSCOT,VRAP,2.07,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1/20/1997,44.81808153,-68.81518881,-68.81518880999994,44.81808153000003
REM00955,GRANTS DAIRY,,566 UNION STREET,BANGOR,PENOBSCOT,VRAP,1.3,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,9/24/1998,44.80670307,-68.79144333,-68.79144332999994,44.806703070000026
REM00958,KOBRITZ BUILDING,,77 RAILOROAD STREET,BANGOR,PENOBSCOT,VRAP,,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2/2/2003,44.79459114,-68.77260732,-68.77260731999996,44.79459114000008
REM00960,MAINE CENTRAL RAILROAD YARD,,FRONT STREET,BANGOR,PENOBSCOT,VRAP,33,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,10/8/2002,44.79314128,-68.77415171,-68.77415170999996,44.79314128000004
REM00961,NATIONAL CONFECTIONARY,,86-160 FRONT STREET,BANGOR,PENOBSCOT,VRAP,3.78,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1/30/2002,44.79564671,-68.77042883,-68.77042882999996,44.79564671000003
REM00962,NYNEX FACILITY,,645 ODLIN ROAD,BANGOR,PENOBSCOT,VRAP,5,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2/8/2000,44.78168103,-68.82123783,-68.82123782999997,44.78168103000007
REM00963,Q.V. REALTY TRUST,BANGOR RADIATOR,240-244 MAIN STREET,BANGOR,PENOBSCOT,VRAP,1.71,FALSE,INVESTIGATION STAGE,NEED (AWAITING RESOURCES),6/8/2006,44.79692397,-68.77300072,-68.77300071999997,44.79692397000008
REM00964,ROADWAY TRAVELODGE,,482 ODLIN ROAD,BANGOR,PENOBSCOT,VRAP,3.5,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,6/5/2002,44.78365926,-68.81457627,-68.81457626999998,44.783659260000036
REM00966,WESTGATE MALL,"UNION STREET LAUNDROMAT & DRY CLEANING (RCRA NAME), NORGE VILLAGE LAUNDRY AND DRY CLEANING",915 UNION STREET,BANGOR,PENOBSCOT,VRAP,11.5,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,5/1/2016,44.814557,-68.801829,-68.80182899999994,44.814557000000036
REM00967,GOLDEN ANCHOR INN,,55 WEST STREET,BAR HARBOR,HANCOCK,VRAP,4.4,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,10/10/2000,44.3910355,-68.20708874,-68.20708873999996,44.391035500000044
REM00968,798 WASHINGTON STREET,,798 WASHINGTON STREET,BATH,SAGADAHOC,VRAP,0.25,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/3/2000,43.91248709,-69.81668713,-69.81668712999993,43.91248709000007
REM00969,BISSON MOVING,,340 NEW MEADOWS ROAD,BATH,SAGADAHOC,VRAP,8.5,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1/21/2001,43.91396948,-69.86452285,-69.86452284999996,43.91396948000005
REM00971,NEW ENGLAND SHIP BUILDING,TEXAS STEAM SHIP,66 BOWERY STREET,BATH,SAGADAHOC,VRAP,3.8,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,6/9/2009,43.923284,-69.812965,-69.81296499999996,43.92328400000008
REM00972,SOUTH YARD (BIW),,WASHINGTON STREET,BATH,SAGADAHOC,VRAP,6,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,11/30/2005,43.906183,-69.814829,-69.81482899999997,43.906183000000055
REM00973,THORNE HEAD,,UPPER HIGH & WASHINGTON STREET,BATH,SAGADAHOC,VRAP,96,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,3/27/2000,43.9462289,-69.81964293,-69.81964292999999,43.94622890000005
