Property ID,Property Name,Property Highlights,City
137501,Robinson Mill - Lot 2,"Assessment activities for this proeprty were conducted under other grants to SMRPC and addressed both Lot 2 and Lot 7 collectively.

Former Use: The property was originally developed in the mid-1800s as a saw mill and was subsequently developed in the late 1800s/early 1900s with a woolen mill complex first record of a woolen mill was circa 1880. The mill facility was owned and operated by the Kezar Falls Woolen Company, and the mill produced woolen textile products throughout the 1900s. Robinson Manufacturing Company obtained the site circa 1973, and the mill was utilized for the production of yarn at that time. Manufacturing operations declined during Robinson Manufacturing Company's ownership of the property until the late 1990s, at which time operations in the mill buildings were limited to equipment and product storage until approximately 2005. In 2005, the site was abandoned, and the Town subsequently took ownership of the site in 2009 through foreclosure.",Parsonsfield
158501,Old Town Canoe - Lot 1B,"Former Use: The Site is known as the former Old Town Canoe manufacturing facility located at 123 Brunswick Street in the City of Old Town, Penobscot County, Maine. The Site is improved with one building which is described as the Primary Manufacturing Building and was utilized for the manufacture and storage of canoes, kayaks, paddles, and miscellaneous watercraft accessories. Remaining portions of the Site consist of asphalt-paved and crushed-gravel driveways/parking areas, grassed areas, and limited landscaping. Based on available information, the Site consisted of unimproved land prior to circa 1850. The Site and vicinity were improved with various buildings including, a shoe factory, coal storage yard, school, church, residential dwellings, numerous outbuildings, and railroad tracks beginning in the mid to late-1800s. Old Town Canoe purchased a majority of these buildings in 1902 and operated their manufacturing facility at the property. The buildings were interconnected and/or demolished at various times from circa 1902 to 1999. Old Town Canoe operated a canoe, kayak, paddle, and miscellaneous watercraft accessory manufacturing facility at the Site from 1902 until the business relocated to another facility in 2009. The Site has remained vacant to the present date, since closing in 2009.",Old Town
158502,Old Town Canoe - Lot 11,"Former Use: The Site is known as the former Old Town Canoe manufacturing facility located at 211 Main Street in the City of Old Town, Penobscot County, Maine. The Site is improved with one building which is described as the 3E Building and was utilized for storage of canoes, kayaks, paddles, and miscellaneous watercraft accessories. Remaining portions of the Site consist of asphalt-paved and crushed-gravel driveways/parking areas, grassed areas, and limited landscaping. Based on available information, the Site consisted of unimproved land prior to circa 1850. The Site and vicinity were improved with various buildings including, a shoe factory, coal storage yard, school, church, residential dwellings, numerous outbuildings, and railroad tracks beginning in the mid to late-1800s. Old Town Canoe purchased a majority of these buildings in 1902 and operated their manufacturing facility at the property. The buildings were interconnected and/or demolished at various times from circa 1902 to 1999. Old Town Canoe operated a canoe, kayak, paddle, and miscellaneous watercraft accessory manufacturing facility at the Site from 1902 until the business relocated to another facility in 2009. The Site has remained vacant to the present date, since closing in 2009.",Old Town
166822,Public Safety Building,NA,"Pleasant Point, ME"
169982,White Canoe,NA,Old Town
207581,Prime Tanning - Lot 146-4,"This property was formerly part of larger Lot 146 that was subdivided into 7 parcels. A Phase I ESA was conducted on the entire property under ACRES ID # 136844

Former Use: The main facility building is located on the Site and encompasses a footprint of approx. 248,800 square feet. The facility was constructed in several phases over time, and is generally constructed of concrete block walls and concrete slab or wooden floors. The majority of the main facility consists of two stories. The remainder of the parcel consists of paved and gravel driveway/parking areas and grass areas. Historical sources indicate that Lot 146 has been occupied by a tannery since prior to 1877. Other historical occupants of the Subject Property identified during this assessment include a wool pulling works facility, a sash and door manufactory, a reed manufactory, a carriage manufactory, an oil company, a laundry facility, a shoe factory, and a lumber company. Former operations performed at the Prime Tanning Facility involved the tanning and processing of leather. Previously treated hides, referred to as “blue stock hides” were delivered to the former Blue Sort Building where sorting, splitting, and shaving activities were conducted. The hides were subsequently transported to the main facility for further processing. Former processes conducted in the main facility included coloring, re-tanning, drying, coating, stuffing, buffing, trimming, and other miscellaneous treatment based on product specifications. Shipping, receiving, chemical storage (tank farm, process tanks, and drum storage), and wastewater pretreatment were also conducted at the Subject Property.",Berwick
207621,Prime Tanning - Lot 146-5,"This property was formerly part of larger Lot 146 that was subdivided into 7 parcels. A Phase I ESA was conducted on the entire property under ACRES ID # 136844

Former Use: The main facility building is located on the Site and encompasses a footprint of approx. 248,800 square feet. The facility was constructed in several phases over time, and is generally constructed of concrete block walls and concrete slab or wooden floors. The majority of the main facility consists of two stories. The remainder of the parcel consists of paved and gravel driveway/parking areas and grass areas. Historical sources indicate that Lot 146 has been occupied by a tannery since prior to 1877. Other historical occupants of the Subject Property identified during this assessment include a wool pulling works facility, a sash and door manufactory, a reed manufactory, a carriage manufactory, an oil company, a laundry facility, a shoe factory, and a lumber company. Former operations performed at the Prime Tanning Facility involved the tanning and processing of leather. Previously treated hides, referred to as “blue stock hides” were delivered to the former Blue Sort Building where sorting, splitting, and shaving activities were conducted. The hides were subsequently transported to the main facility for further processing. Former processes conducted in the main facility included coloring, re-tanning, drying, coating, stuffing, buffing, trimming, and other miscellaneous treatment based on product specifications. Shipping, receiving, chemical storage (tank farm, process tanks, and drum storage), and wastewater pretreatment were also conducted at the Subject Property.",Berwick
207641,Prime Tanning - Lot 146-6,"The Site is a portion of a larger tannery complex in downtown Berwick that has been vacant since 2008. After years of legal proceedings and working with the most recent owner the Town acquired the Site and is performing cleanup activities to return their downtown into a vibrant commercial and residential area.

Former Use: The main facility building is located on the Site and encompasses a footprint of approx. 248,800 square feet. The facility was constructed in several phases over time, and is generally constructed of concrete block walls and concrete slab or wooden floors. The majority of the main facility consists of two stories. The remainder of the parcel consists of paved and gravel driveway/parking areas and grass areas. Historical sources indicate that Lot 146 has been occupied by a tannery since prior to 1877. Other historical occupants of the Subject Property identified during this assessment include a wool pulling works facility, a sash and door manufactory, a reed manufactory, a carriage manufactory, an oil company, a laundry facility, a shoe factory, and a lumber company. Former operations performed at the Prime Tanning Facility involved the tanning and processing of leather. Previously treated hides, referred to as “blue stock hides” were delivered to the former Blue Sort Building where sorting, splitting, and shaving activities were conducted. The hides were subsequently transported to the main facility for further processing. Former processes conducted in the main facility included coloring, re-tanning, drying, coating, stuffing, buffing, trimming, and other miscellaneous treatment based on product specifications. Shipping, receiving, chemical storage (tank farm, process tanks, and drum storage), and wastewater pretreatment were also conducted at the Subject Property.",Berwick
218241,South Portland Armory,"Former Use: The site was constructed as the South Portland Armory by the State of Maine in 1941. Since its closure in mid 1990's, the Site has sat vacant. The City subsequently entered into a Purchase and Sale Agreement with Priority Real Estate Group of Topsham, Maine. The redevelopment will include a preservation easement to preserve the exterior façade of the Head House portion of the Armory building. The Site will be redeveloped as community space, a retail store, and office space.",SOUTH PORTLAND
226981,Maple Syrup Company,"Building is currently used as production and retail space by Passamaquoddy Maple Syrup Inc.

Former Use: Approximately three years ago, the Passamaquoddy Maple Syrup Company purchased the former U.S. Forest Service building in Moose River, Maine, with the intention of redeveloping the property for use in our emerging Maple Syrup business. The Site, located at 764 Old Canada Road, includes one small two story structure and a single story garage on approximately 1 acre of land. After several years of development spurred by federal grants, the Passamaquoddy Maple Syrup Company is fully operational and manages approximately 25,000 taps in and around Jackman, Maine.",Moose River
229021,Jefferson Street School,former school redeveloped as residential,OLD TOWN
239702,Mason Station Ash Ponds - Lots 82&83,NA,WISCASSET
239703,Mason Station Ash Ponds - Lots 84&85,NA,WISCASSET
241624,West End Apartments,"Former Use: The Site consists of 2 lots, is approximately 0.91 acres, and was first developed in 1942 with the Site building, which has been used for a number of uses including a church, a laundromat and multiple variety grocery stores since the construction of the on-site structure in 1942, when the property was first developed.",SOUTH PORTLAND
241757,Front Street Apartments,"The Front Street Apartment complex consists of two parcels of land (the East Parcel at 37 Front Street, and the West Parcel at 63 Front Street) and is the current location of 18 Public Housing buildings (which contains 50 housing units) and one community building. Prior to construction of the apartments, the Site was formerly used as a City dumping ground in early 20th century with  some of the Site marshland.  PHA plans to replace the existing 50 apartment units that have reached the end of their useful life with a new multi-family apartment project containing a total of 99 new apartments in six separate buildings.",PORTLAND
251916,58 Boyd Street Apartments,"The Site was originally developed in 1896 with a horse stable and provisions store. By 1957, the storefront was vacant and by 1960, the buildings had been razed in conjunction with the construction of the Franklin Street Arterial to the west of the Site. The existing building was constructed in 1972 and was originally used as a community center with a kitchen, health center, office space and an auditorium/ recreation hall. During the 1980s, the auditorium/recreation hall portion was converted into classroom space for the Head Start Program. The Site building is currently vacant. The Site is adjacent to the portion of Portland that was destroyed by the Great Fire of 1866 as well as a former wood and coal yard to the northwest that operated between 1896 and 1909.",PORTLAND
253143,Front Street Apartments Phase 2,"The Front Street Apartment complex consists of two parcels of land (the East Parcel at 37 Front Street, and the West Parcel at 63 Front Street) and is the current location of 18 Public Housing buildings (which contains 50 housing units) and one community building. Prior to construction of the apartments, the Site was formerly used as a City dumping ground in early 20th century with some of the Site marshland. PHA plans to replace the existing 50 apartment units that have reached the end of their useful life with a new multi-family apartment project containing a total of 99 new apartments in six separate buildings.",PORTLAND
254155,Research Building,NA,MILLINOCKET
255279,LP&T-Buildings #6 & #7,NA,LINCOLN
255280,LP&T-Biofine Parcel,NA,LINCOLN
255281,Engineering Building,NA,MILLINOCKET
255283,WWTP & Clarifier,NA,MILLINOCKET
257821,Engineering Building,NA,MILLINOCKET
258291,Avesta Housing,"The site has been used as office space for approximately 20 years.  The full history of the site is unknown at this time; however, based on readily available Sanborn maps, was in use as a laundry in the 1950s and maybe as early as 1909, and was previously occupied by several residential structures.

Based on the age of the current building (1913), it is likely that hazardous building materials are present.  In addition, it is suspected the petroleum impacts may be present from current and historical heating systems/fuel storage, and there is the potential for chlorinated solvents to be present due to the historical use as a laundry facility.",PORTLAND
226971,Hartland Annex Parcel 1,"The former Tannery Annex has had several uses over many years. Previous investigations stated the canning facility was constructed in 1913 and historic records reviewed indicate the oldest buildings assumed to be the original H.C. Baxter/Snowflake cannery structures constructed prior to 1917; those are the farthest east and closest to the former railroad tracks. In 1923 in an effort to expand their business the company began to can peas, string beans, and whole kernel corn, with this operation centered in Hartland, Maine. Over the years H.C. Baxter continued to expand its products including frozen vegetables and French fries. By the late 1950s and early 1960s, the company could no longer compete with canneries in other areas of the country and concentrated on processing potatoes. After the Hartland plant ceased operations in the late 1960s, it was acquired by Irving Tanning in 1963 and became known as the Tannery Annex. Leather finishing processes were conducted at the subject property, which utilized an assortment of pigments, lacquers, and solvents for spray and dipping applications. The tannery ceased using the building in 2012.The former Irving Tannery Annex in Hartland is currently vacant property. Asbestos was identified in a portion of the building. The Town was approached by a local developer to wants to develop the space as ""maker"" space where small businesses could set up shop and have a shared space to work in. Specifically, the developer proposed to turn the tannery annex into a metal fabrication shop and maker?s space, directly employing several local residents for his operations and hopefully opening up more economic opportunities for other local fabricators. Mr. Warner has lined up enough work to begin making an economic contribution to Hartland almost immediately, and has a vision of using the bulk of the complex to open up opportunities to other Hartland residents.

Former Use: Former Irving Tannery - Historic records reviewed indicate the oldest buildings assumed to be the original H.C. Baxter/Snowflake cannery structures constructed prior to 1917; those are the farthest east and closest to the former railroad tracks. In 1923 in an effort to expand their business the company began to can peas, string beans, and whole kernel corn, with this operation centered in Hartland, Maine. Over the years H.C. Baxter continued to expand its products including frozen vegetables and French fries. By the late 1950s and early 1960s, the company could no longer compete with canneries in other areas of the country and concentrated on processing potatoes. After the Hartland plant ceased operations in the late 1960s, it was acquired by Irving Tanning in 1963 and became known as the Tannery Annex. Leather finishing processes were conducted at the subject property, which utilized an assortment of pigments, lacquers, and solvents for spray and dipping applications. The tannery ceased using the building in 2012. The Site is currently inactive. Presently, Tasman Leather Group, LLC (Tasman) utilizes the western section of the main building for dry, cold storage of blue stock. There is no electrical service or heat in any of the buildings.",HARTLAND
258750,Patten Recreation Department Building,NA,PATTEN
238770,Seton Waterville,The Seton building is proposed to be redeveloped as market rate housing. The building will retain much of its existing structural elements but will be reconfigured on the inside to accommodate condominiums and apartments. Much of the historical (1960?s) architecture will remain including many of the indoor former hospital elements.,WATERVILLE
259430,No Name Island,NA,MEDWAY
257822,Millinocket Mill,NA,MILLINOCKET
258674,No. 6 Fuel Oil Tank Farm & Rail Corridor,NA,MILLINOCKET
258743,Sapiel Residence,Site includes partially burned abandoned residence.  Tribe is conducting environmental due diligence prior to demolition and redevelopment.,Pleasant Point Reservation
257820,Engineering Building,NA,MILLINOCKET
