city,site,name,address,IC,program,status_date,status,n_gdb,n_pdf
BATH,REM00029,BATH MUNICIPAL LANDFILL NEW,DETRITUS DRIVE,NO, LANDFILL CLOSURE ,2002-07-31,REMEDIATION STAGE NEED (AWAITING RESOURCES),NA,1
BELFAST,REM00031,BELFAST MUNICIPAL LANDFILL,PITCHER ROAD,YES, LANDFILL CLOSURE ,1997-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BELGRADE,REM00032,BELGRADE MUNICIPAL LANDFILL,DUNN ROAD,YES, LANDFILL CLOSURE ,1993-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BELMONT,REM00033,BELMONT MUNICIPAL LANDFILL,OLD CRIE RD,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BERWICK,REM00034,BERWICK SEWER DISTTRICT SLUDGE LANDFILL POWERHOUSE ROAD,NA,YES, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BETHEL,REM00035,BETHEL MUNICIPAL LANDFILL,ROUTE 2,YES, LANDFILL CLOSURE ,1993-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BIDDEFORD,REM00036,BIDDEFORD MUNICIPAL LANDFILL,ANDREWS ROAD,YES, LANDFILL CLOSURE ,1993-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
CONCORD TWP,REM00037,BINGHAM MUNICIPAL LANDFILL,RTE 16 (RIDGE ROAD),YES, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BLUE HILL,REM00038,BLUE HILL MUNICIPAL LANDFILL,TURKEY FARM RD.,NO, LANDFILL CLOSURE ,1987-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BOOTHBAY,REM00039,BOOTHBAY MUNICIPAL LANDFILL,COUNTRY CLUB RD,NO, LANDFILL CLOSURE ,2013-12-03,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BOWDOINHAM,REM00040,BOWDOINHAM MUNICIPAL LANDFILL,CARDING MACH RD,NO, LANDFILL CLOSURE ,1992-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BOWERBANK,REM00041,BOWERBANK MUNICIPAL LANDFILL,BOWERBANK RD/BACK NEI,YES, LANDFILL CLOSURE ,1998-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BRADFORD,REM00042,BRADFORD MUNICIPAL LANDFILL,MIDDLE ROAD,YES, LANDFILL CLOSURE ,2014-10-30,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BREWER,REM00043,BREWER MUNICIPAL LANDFILL,WISWELL ROAD,YES, LANDFILL CLOSURE ,1992-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BRIDGEWATER,REM00044,BRIDGEWATER MUNICIPAL LANDFILL,CORNER ROAD,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BRIDGTON,REM00045,BRIDGTON MUNICIPAL LANDFILL,RT 117,YES, LANDFILL CLOSURE ,1992-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BRIGHTON PLT,REM00046,BRIGHTON PLT. MUNICIPAL LANDFILL,RT 154,YES, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BRISTOL,REM00047,BRISTOL MUNICIPAL LANDFILL,FOSTER ROAD,YES, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BROOKLIN,REM00048,BROOKLIN MUNICIPAL LANDFILL,OLD COUNTRY ROAD,YES, LANDFILL CLOSURE ,1995-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BROOKS,REM00049,BROOKS MUNICIPAL LANDFILL,MONROE CENTER ROAD,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BROWNFIELD,REM00050,BROWNFIELD MUNICIPAL LANDFILL,1076 PEQUAWKWT TRAIL,YES, LANDFILL CLOSURE ,1995-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BRUNSWICK,REM00051,BRUNSWICK LANDFILL GRAHM ROAD,49 GRAHAM ROAD,NO, LANDFILL CLOSURE ,2022-05-23,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BRUNSWICK,REM00052,RIVER RD. LANDFILL,1 COFFEE RIDGE ROAD,NO, LANDFILL CLOSURE ,2004-07-31,REMEDIATION STAGE NEED (AWAITING RESOURCES),NA,1
BRUNSWICK,REM00053,BRUNSWICK SAN. DIST. SLUDGE LANDFILL,PLEASANT HILL RD,YES, LANDFILL CLOSURE ,1985-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BRUNSWICK,REM00054,PLEASANT HILL ROAD LANDFILL,PLEASANT HILL ROAD,YES, LANDFILL CLOSURE ,1984-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BUCKFIELD,REM00055,BUCKFIELD MUNICIPAL LANDFILL,ROUTE 140,YES, LANDFILL CLOSURE ,1984-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BUCKFIELD,REM00056,BUCKFIELD STUMP DUMP,RT 140,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BUCKSPORT,REM00057,BUCKSPORT MUNICIPAL LANDFILL,CENTRAL STREET,YES, LANDFILL CLOSURE ,1993-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BURLINGTON,REM00058,BURLINGTON/LOWELL MUNICIPAL LANDFILL,RT 188,YES, LANDFILL CLOSURE ,1995-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BUXTON,REM00060,GROVEVILLE LANDFILL,CHURCH HILL RD,YES, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BUXTON,REM00061,TOWN FARM RD. LANDFILL,TOWN FARM RD,YES, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
CALAIS,REM00062,CALAIS MUNICIPAL LANDFILL,SOUTH STREET,YES, LANDFILL CLOSURE ,2018-04-05,REMEDIATION STAGE ONGOING,1,1
CAMBRIDGE,REM00064,CAMBRIDGE MUNICIPAL LANDFILL,ROUTE 150,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
ROCKPORT,REM00065,JACOBS QUARRY LANDFILL,UNION STREET,NO, LANDFILL CLOSURE ,2004-07-31,INVESTIGATION STAGE NEED (AWAITING RESOURCES),NA,1
CANAAN,REM00066,CANAAN MUNICIPAL LANDFILL,BROWNS CORNER ROAD,YES, LANDFILL CLOSURE ,1981-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CANTON,REM00067,CANTON MUNICIPAL LANDFILL,JONES RD,NO, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CAPE ELIZABETH,REM00068,CAPE ELIZABETH CDD LANDFILL,DENNISON DRIVE,YES, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
WEST FORKS PLT,REM00069,CARATUNK FORKS & WEST FORKS MUNICIPAL LOWER ENCHANTED RD OF,NA,NO, LANDFILL CLOSURE ,1950-01-01,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CARIBOU,REM00070,CARIBOU MUNICIPAL LANDFILL,OGREN ROAD/OLD DUMP R,YES, LANDFILL CLOSURE ,1993-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CARTHAGE,REM00071,CARTHAGE MUNICIPAL LANDFILL,RT 142,NO, LANDFILL CLOSURE ,2004-07-31,REMEDIATION STAGE NEED (AWAITING RESOURCES),1,1
CASCO,REM00072,CASCO MUNICIPAL LANDFILL,LEECH HILL RD,NO, LANDFILL CLOSURE ,1992-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
CASTINE,REM00073,CASTINE MUNICIPAL LANDFILL,RT 166A,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CHARLESTON,REM00074,CHARLESTON MUNICIPAL LANDFILL,ROUTE 15,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CHARLOTTE,REM00075,CHARLOTTE MUNICIPAL LANDFILL,SMITH RIDGE ROAD,YES, LANDFILL CLOSURE ,1993-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CHELSEA,REM00076,CHELSEA MUNICIPAL LANDFILL,SEARLS MILL ROAD,YES, LANDFILL CLOSURE ,1997-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
CHERRYFIELD,REM00077,CHERRYFIELD MUNICIPAL LANDFILL,635 NORTH MAIN STREET (,YES, LANDFILL CLOSURE ,2024-10-22,REMEDIATION STAGE ONGOING,2,1
CHESTER,REM00078,CHESTER MUNICIPAL LANDFILL,KEENE ROAD,YES, LANDFILL CLOSURE ,1993-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CHESTERVILLE,REM00079,CHESTERVILLE MUNICIPAL LANDFILL,RIDGE ROAD,YES, LANDFILL CLOSURE ,1998-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CHESUNCOOK TWP,REM00080,CHESUNCOOK MUNICIPAL LANDFILL,TRAIL 3/4 MILE WEST OF VI,NO, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CHINA,REM00081,CHINA MUNICIPAL LANDFILL,ALDER PARK RD,NO, LANDFILL CLOSURE ,1993-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CLINTON,REM00082,CLINTON MUNICIPAL LANDFILL,ROUTE 100/11,YES, LANDFILL CLOSURE ,1983-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
COBURN GORE,REM00083,COBURN GORE MUNICIPAL LANDFILL,ROUTE 27,NO, LANDFILL CLOSURE ,1985-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CODYVILLE TWP,REM00084,CODYVILLE MUNICIPAL LANDFILL,RT 6,NO, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
COLUMBIA FALLS,REM00085,COLUMBIA FALLS MUNICIPAL LANDFILL,ROUTE 187,YES, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CONNOR TWP,REM00086,CONNOR TWP. MUNICIPAL LANDFILL,BEAULIEU RD,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
COOPER,REM00087,COOPER MUNICIPAL LANDFILL,RT 191,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CORINNA,REM00088,CORINNA MUNICIPAL LANDFILL,PHINNEY ROAD,YES, LANDFILL CLOSURE ,2014-10-30,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CORINTH,REM00089,CORINTH MUNICIPAL LANDFILL,NOTCH RD,YES, LANDFILL CLOSURE ,2014-10-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CORNISH,REM00090,CORNISH MUNICIPAL LANDFILL,RTE 25/OSSIPEE RIVER,NO, LANDFILL CLOSURE ,1995-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
CORNVILLE,REM00091,CORNVILLE MUNICIPAL LANDFILL,HUFF RD,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CHEBEAGUE ISLAND,REM00092,CHEBEAGUE ISLAND LANDFILL,CHEBEAGUE ISLAND NORT,NO, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
CUMBERLAND,REM00093,DROWNE RD. LANDFILL,DROWNE RD,NO, LANDFILL CLOSURE ,2014-05-09,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
CUTLER,REM00094,CUTLER MUNICIPAL LANDFILL,ROUTE 191,YES, LANDFILL CLOSURE ,1997-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
DAMARISCOTTA,REM00095,DAMARISCOTTA MUNICIPAL LANDFILL,STANDPIPE RD,YES, LANDFILL CLOSURE ,1987-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
DANFORTH,REM00096,DANFORTH MUNICIPAL LANDFILL (NEW),MAPLE ST,YES, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
DANFORTH,REM00097,DANFORTH MUNICIPAL LANDFILL (OLD),MAPLE ST,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
DAYTON,REM00098,DAYTON MUNICIPAL LANDFILL,RT 5/RUMMERY RD.,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
DEBLOIS,REM00099,DEBLOIS MUNICIPAL LANDFILL,LANE ROAD OFF ROUTE 19,YES, LANDFILL CLOSURE ,2010-07-15,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
DEER ISLE,REM00100,DEER ISLE MUNICIPAL LANDFILL,REACH WOODS ROAD,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
DENMARK,REM00101,DENMARK MUNICIPAL LANDFILL,HANCOCK POND ROAD,YES, LANDFILL CLOSURE ,1995-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
DEXTER,REM00102,DEXTER MUNICIPAL LANDFILL,UPPER GARLAND ROAD,YES, LANDFILL CLOSURE ,1992-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
DIXFIELD,REM00103,DIXFIELD MUNICIPAL LANDFILL,RT 2 (MAIN STREET),YES, LANDFILL CLOSURE ,1981-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
DIXMONT,REM00104,DIXMONT MUNICIPAL LANDFILL,MITCHELL ROAD,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
DOVER-FOXCROFT,REM00105,DOVER-FOXCROFT MUNICIPAL LANDFILL,FOXCROFT CENTER ROAD,YES, LANDFILL CLOSURE ,1995-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
EAGLE LAKE,REM00106,EAGLE LAKE MUNICIPAL LANDFILL,CONVENT RD,NO, LANDFILL CLOSURE ,1997-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
EAST MACHIAS,REM00107,EAST MACHIAS MUNICIPAL LANDFILL,DUMP ROAD,YES, LANDFILL CLOSURE ,1999-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
EAST MILLINOCKET,REM00108,EAST MILLINOCKET MUNICIPAL LANDFILL,CHURCH ST.,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
EASTBROOK,REM00109,EASTBROOK MUNICIPAL LANDFILL,RT 200/EASTBROOK RD.,NO, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
EASTON,REM00110,EASTON MUNICIPAL LANDFILL,HOULTON RD (RT 1A & 165),YES, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
EASTPORT,REM00111,EASTPORT MUNICIPAL LANDFILL,14 DEEP COVE ROAD,YES, LANDFILL CLOSURE ,2017-02-14,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
ELIOT,REM00112,ELIOT MUNICIPAL LANDFILL,ROUTE 236,YES, LANDFILL CLOSURE ,1982-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
ELLSWORTH,REM00113,ELLSWORTH MUNICIPAL LANDFILL,STABAWL RD/UNION ST.,NO, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
ENFIELD,REM00114,ENFIELD MUNICIPAL LANDFILL,ROUTE 155,YES, LANDFILL CLOSURE ,1995-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BIGELOW TWP,REM00115,EUSTIS MUNICIPAL LANDFILL,SCHOOL ST/OLD DEAD RIV,NO, LANDFILL CLOSURE ,1991-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
EXETER,REM00116,EXETER MUNICIPAL LANDFILL,EATON ROAD,YES, LANDFILL CLOSURE ,2014-10-30,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
FAIRFIELD,REM00117,MAPLE ST. LANDFILL,MAPLE ST,NO, LANDFILL CLOSURE ,1993-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
FAIRFIELD,REM00118,GREEN ST. STUMP DUMP,GREEN ST,YES, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
FALMOUTH,REM00119,FALMOUTH MUNICIPAL LANDFILL-WOODS ROAD 36 WOODS ROAD,NA,YES, LANDFILL CLOSURE ,1990-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
FARMINGTON,REM00120,FARMINGTON MUNICIPAL LANDFILL (OLD),ROUTE 43 INDUSTRY ROA,YES, LANDFILL CLOSURE ,1976-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
FARMINGTON,REM00121,FARMINGTON MUNICIPAL LANDFILL (NEW),ROUTE 2 & 27,YES, LANDFILL CLOSURE ,1995-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
FORT FAIRFIELD,REM00122,FORT FAIRFIELD MUNICIPAL LANDFILL,NORTH CARIBOU ROAD,YES, LANDFILL CLOSURE ,1980-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
FORT KENT,REM00123,FORT KENT MUNICIPAL LANDFILL,NORTH PERLEY BROOK RO,YES, LANDFILL CLOSURE ,1995-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,2,1
