X,Y,OBJECTID,SITENUMBER,SITENAME,SITEALIAS,STREET_ADDRESS,MCDTOWN,COUNTY,PROGRAM,AREA_ACRES,IC_CONTROLS,STATUS,SUBSTATUS,STATUS_DATE,LATDD,LONGDD
-69.27341668,44.20931053,16,REM00875,ALLEN'S UNION FARM,,ROUTE 235,UNION,KNOX,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2009/04/06 00:00:00+00,44.20931053,-69.27341668
-69.3356008599999,44.61813513,17,REM00876,"MILMAC, INC.",,BANGOR ROAD,UNITY,WALDO,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2008/05/21 00:00:00+00,44.61813513,-69.33560086
-67.95585821,47.1892235,18,REM00878,VAN BUREN-MADAWASKA CORP,,ROUTE 1,VAN BUREN,AROOSTOOK,UNCONTROLLED SITES,25,FALSE,INVESTIGATION STAGE,ONGOING,1990/05/16 00:00:00+00,47.1892235,-67.95585821
-69.61227108,44.4585789400001,19,REM00879,RRAS,,ROUTE 32,VASSALBORO,KENNEBEC,UNCONTROLLED SITES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,2009/04/06 00:00:00+00,44.45857894,-69.61227108
-69.37587916,44.0848070800001,20,REM00880,GTE PRODUCTS COMPANY,,FRIENDSHIP STREET,WALDOBORO,LINCOLN,UNCONTROLLED SITES,27,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2009/04/21 00:00:00+00,44.08480708,-69.37587916
-69.4175613,44.1474152600001,21,REM00882,GEORGE A. CALDWELL CO,,ROUTE 32,WALDOBORO,LINCOLN,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,2009/04/06 00:00:00+00,44.14741526,-69.4175613
-69.38859869,44.10216504,22,REM00883,MAINE MARINE,DIS #161,ROUTE 32,WALDOBORO,LINCOLN,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,2009/04/06 00:00:00+00,44.10216504,-69.38859869
-69.2412818999999,44.15356153,23,REM00884,STETSON SAAB SALES,"DIS #244,MONROE CONSTRUCTION",1174 EASTERN RD (ROUTE 131),WARREN,KNOX,UNCONTROLLED SITES,5,FALSE,INVESTIGATION STAGE,ONGOING,2023/05/16 00:00:00+00,44.15356153,-69.2412819
-69.21825018,44.06765476,24,REM00885,BOLDUC MINIMUM SECURITY UNIT,DIS #210,ROUTE 97 (ME STATE PRISON),WARREN,KNOX,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,2009/04/06 00:00:00+00,44.06765476,-69.21825018
-69.34878622,44.2318623400001,25,REM00887,WASHINGTON DOT LOT,,ROUTE 17,WASHINGTON,KNOX,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1950/01/01 00:00:00+00,44.23186234,-69.34878622
-70.673804,43.5805110000001,26,REM00888,WATERBORO PATENT WASTE LAGOONS,,132 BENNETT HILL ROAD,WATERBORO,YORK,UNCONTROLLED SITES,100,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2015/10/19 00:00:00+00,43.580511,-70.673804
-70.7136793299999,43.53387874,27,REM00889,WATERBORO PATENT CORPORATION,,CORNER MAY & GOODWIN MILL RD,WATERBORO,YORK,UNCONTROLLED SITES,20,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2007/12/03 00:00:00+00,43.53387874,-70.71367933
-70.687271,43.5747170000001,28,REM00890,SO. MAINE FINISHING CORP.,SOUTHERN MAINE FINISHING,ROUTE 5,WATERBORO,YORK,UNCONTROLLED SITES,45,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1999/06/29 00:00:00+00,43.574717,-70.687271
-70.70068445,43.5792656200001,29,REM00891,RICARD'S GRAVEL PIT,,ROUTE 5 (ALFRED ROAD),WATERBORO,YORK,UNCONTROLLED SITES,118,FALSE,REMEDIATION STAGE,NEED (AWAITING RESOURCES),2005/06/16 00:00:00+00,43.57926562,-70.70068445
-70.72312641,43.6234951000001,30,REM00892,LITTLE OSSIPEE POND,DISC #211,SILAS BROWN ROAD,WATERBORO,YORK,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1950/01/01 00:00:00+00,43.6234951,-70.72312641
-69.63136817,44.5634901000001,31,REM00893,LEWIS WOLMAN CO.,,41 HIGH STREET,WATERVILLE,KENNEBEC,UNCONTROLLED SITES,2,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2006/03/15 00:00:00+00,44.5634901,-69.63136817
-69.632763,44.566715,32,REM00895,BROOKSIDE SCHOOL,DIS#219,DRUMMOND AVENUE,WATERVILLE,KENNEBEC,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,2009/04/06 00:00:00+00,44.566715,-69.632763
-69.6130018499999,44.5739559100001,33,REM00896,WATERVILLE GAS WORKS,,ROUTE 210 & COLLEGE AVE,WATERVILLE,KENNEBEC,UNCONTROLLED SITES,1.4,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2010/11/01 00:00:00+00,44.57395591,-69.61300185
-69.6130018499999,44.5739559100001,34,REM00896,WATERVILLE GAS WORKS,,ROUTE 210 & COLLEGE AVE,WATERVILLE,KENNEBEC,VRAP,1.4,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2010/11/01 00:00:00+00,44.57395591,-69.61300185
-70.7018399999999,43.3035390000001,35,REM00898,TILCON ASPHALT PLANT,PIKE INDUSTRIES,81 BOYD ROAD,WELLS,YORK,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2009/04/06 00:00:00+00,43.303539,-70.70184
-70.3412089999999,43.685325,36,REM00899,W.A. MESSER,DIS#124,170 WARREN AVENUE,WESTBROOK,CUMBERLAND,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2009/04/07 00:00:00+00,43.685325,-70.341209
-70.3747872599999,43.6620285500001,37,REM00900,DATA GENERAL CORPORATION,IDEXX,80 EISENHOWER DRIVE,WESTBROOK,CUMBERLAND,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2008/05/21 00:00:00+00,43.66202855,-70.37478726
-70.3530969999999,43.6854240000001,38,REM00901,S.D. WARREN DIVISION OF SCOTT PAPER,"KIMBERLY CLARK, SAPPI",89 CUMBERLAND STREET,WESTBROOK,CUMBERLAND,UNCONTROLLED SITES,,TRUE,REMEDIATION STAGE,ONGOING,2019/01/24 00:00:00+00,43.685424,-70.353097
-70.377149,43.6719590000001,39,REM00902,SACO & BERNADETTE ST. SCHOOL,DIS#229),BERNADETTE STREET,WESTBROOK,CUMBERLAND,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2009/04/07 00:00:00+00,43.671959,-70.377149
-70.350747,43.7421180000001,40,REM00903,ADJACENT HIGHLAND LAKE CEMETARY,DIS #209,ROUTE 302,WESTBROOK,CUMBERLAND,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2009/04/07 00:00:00+00,43.742118,-70.350747
-69.65869732,44.2201517400001,41,REM00904,TRAINOR CORNER,,ROUTE 126 AND HUNTS MEADOW RD.,WHITEFIELD,LINCOLN,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2009/01/06 00:00:00+00,44.22015174,-69.65869732
-70.400723,43.8430770000001,42,REM00906,ROUTE 115,DIS #228,CORNER RT. 115 & BRAND KNIGHT,WINDHAM,CUMBERLAND,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,2008/05/23 00:00:00+00,43.843077,-70.400723
-70.4130364499999,43.72507238,43,REM00908,MAINE CORRECTIONAL CENTER,,RIVER ROAD,WINDHAM,CUMBERLAND,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,2008/05/23 00:00:00+00,43.72507238,-70.41303645
-69.62397684,44.5551531,44,REM00910,SCOTT PAPER COMPANY,KRDP (KENNEBEC RIVER DEVELOPMENT PARK),MILL ROAD,WINSLOW,KENNEBEC,UNCONTROLLED SITES,,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2016/09/15 00:00:00+00,44.5551531,-69.62397684
-69.59409102,44.5012972100001,45,REM00911,WINSLOW TOWN LANDFILL,"REYNOLDS DUMP;",REYNOLDS ROAD,WINSLOW,KENNEBEC,UNCONTROLLED SITES,,FALSE,REMEDIATION STAGE,NEED (AWAITING RESOURCES),2017/02/17 00:00:00+00,44.50129721,-69.59409102
-69.6281021299999,44.5375412000001,46,REM00912,VIGUE PROPERTY,,ROUTE 137,WINSLOW,KENNEBEC,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,2009/04/07 00:00:00+00,44.5375412,-69.62810213
-68.06248815,44.3361250500001,47,REM00913,NAVAL SECURITY GROUP ACTIVITY,FUD SITE D01ME0159 (D01ME0160 IS THE SAME SITE AS DETERMINED BY USACE),ROUTE 186,WINTER HARBOR,HANCOCK,FEDERAL FACILITIES,177.82,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1994/09/30 00:00:00+00,44.33612505,-68.06248815
-68.06248815,44.3361250500001,48,REM00913,NAVAL SECURITY GROUP ACTIVITY,FUD SITE D01ME0159 (D01ME0160 IS THE SAME SITE AS DETERMINED BY USACE),ROUTE 186,WINTER HARBOR,HANCOCK,UNCONTROLLED SITES,177.82,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1994/09/30 00:00:00+00,44.33612505,-68.06248815
-69.979518,44.299494,49,REM00915,PROGRESSIVE IRON WORKS,,WESTERN AVENUE,WINTHROP,KENNEBEC,UNCONTROLLED SITES,,FALSE,COMPLAINT INVESTIGATED,UNSUBSTANTIATED,2009/04/07 00:00:00+00,44.299494,-69.979518
-70.0045009999999,44.2791360000001,50,REM00916,SEAWAY BOATS,,1109 ME-100,WINTHROP,KENNEBEC,UNCONTROLLED SITES,2.85,FALSE,REMEDIATION STAGE,ONGOING,1998/09/10 00:00:00+00,44.279136,-70.004501
-69.977312,44.3014880000001,51,REM00918,OLD BONAFIDE INDUSTRIES DUMP,,ROYAL STREET,WINTHROP,KENNEBEC,UNCONTROLLED SITES,7.4,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2001/03/07 00:00:00+00,44.301488,-69.977312
-70.00037814,44.3093587400001,52,REM00919,TURKEY  LANE,DIS#276,"TURKEY LANE (FR T6, JACOBS LN)",WINTHROP,KENNEBEC,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2009/04/07 00:00:00+00,44.30935874,-70.00037814
-69.67376085,44.0402519400001,53,REM00920,HUNT COMPANY,HUNT LUMBER COMPANY,GARDINER ROAD,WISCASSET,LINCOLN,UNCONTROLLED SITES,31.6,FALSE,REMEDIATION STAGE,ONGOING,2020/12/20 00:00:00+00,44.04025194,-69.67376085
-68.13530872,46.89477329,54,REM00922,PETERSONS FARM STORE,,COLBY ROAD (COLBY),WOODLAND,AROOSTOOK,UNCONTROLLED SITES,1,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2008/05/21 00:00:00+00,46.89477329,-68.13530872
-69.8021619199999,43.9169256000001,55,REM00923,JOHNNY'S APPLIANCE,,ROUTE 1,WOOLWICH,SAGADAHOC,UNCONTROLLED SITES,,FALSE,COMPLAINT INVESTIGATED,UNSUBSTANTIATED,1987/08/07 00:00:00+00,43.9169256,-69.80216192
-69.80105632,43.9131218200001,56,REM00924,WOOLWICH TEXACO,DIS #165,ROUTE 1,WOOLWICH,SAGADAHOC,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,2009/04/07 00:00:00+00,43.91312182,-69.80105632
-70.371676,45.1117070000001,57,REM00925,BARREN AREA,DIS#230,NO LOCATION,WYMAN TWP,FRANKLIN,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2009/04/07 00:00:00+00,45.111707,-70.371676
-70.1914869999999,43.8004030000001,58,REM00926,D & S CORPORATION 2,RAILROAD SQUARE,48 RAILROAD SQUARE,YARMOUTH,CUMBERLAND,UNCONTROLLED SITES,4.4,FALSE,REMEDIATION STAGE,NEED (AWAITING RESOURCES),2019/01/10 00:00:00+00,43.800403,-70.191487
-70.155319,43.752076,59,REM00927,GIBSON CONTRACTORS,DIS #159,COUSINS ISLAND,YARMOUTH,CUMBERLAND,UNCONTROLLED SITES,,FALSE,COMPLAINT INVESTIGATED,UNSUBSTANTIATED,1988/08/23 00:00:00+00,43.752076,-70.155319
-70.18982744,43.80802077,60,REM00928,MERCURY SPILL,,ELM STREET,YARMOUTH,CUMBERLAND,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2009/04/07 00:00:00+00,43.80802077,-70.18982744
-70.204233,43.811739,61,REM00929,NEW ENGLAND POLE & TREATING,,SLIGO ROAD,YARMOUTH,CUMBERLAND,UNCONTROLLED SITES,3,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2008/05/21 00:00:00+00,43.811739,-70.204233
-70.609678,43.171319,62,REM00930,N.E. DEMOLITION,DISC #173,ROUTE 1 (CAPE NEDDICK),YORK,YORK,UNCONTROLLED SITES,,FALSE,COMPLAINT INVESTIGATED,UNSUBSTANTIATED,2006/04/14 00:00:00+00,43.171319,-70.609678
-70.725883,43.4687710000001,63,REM00931,ALFRED GETTY,,70 SANFORD ROAD,ALFRED,YORK,VRAP,0.34,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2002/12/18 00:00:00+00,43.468771,-70.725883
-70.26107208,44.0845503900001,64,REM00933,FORMER FIBERGLASS PRODUCTS,,1400 HOTEL ROAD,AUBURN,ANDROSCOGGIN,VRAP,17.9,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2002/07/11 00:00:00+00,44.08455039,-70.26107208
-70.22425,44.0986750000001,65,REM00935,GREAT FALLS PLAZA,,TURNER STREET,AUBURN,ANDROSCOGGIN,VRAP,7.34,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2000/11/17 00:00:00+00,44.098675,-70.22425
-70.23031442,44.0923895400001,66,REM00936,JIMMY'S EXXON,,150 MINOT AVENUE,AUBURN,ANDROSCOGGIN,VRAP,0.8,FALSE,REMEDIATION STAGE,NEED (AWAITING RESOURCES),2017/11/21 00:00:00+00,44.09238954,-70.23031442
-70.23204,44.098258,67,REM00937,OAF,OPPORTUNITY ACQUISITION FUND,8 UNION STREET,AUBURN,ANDROSCOGGIN,VRAP,1.34,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1998/04/23 00:00:00+00,44.098258,-70.23204
-70.2924965,44.0479954300001,68,REM00939,"RILEY MEDICAL, INC.",,27 WRIGHTS LANDING,AUBURN,ANDROSCOGGIN,VRAP,5,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2024/09/05 00:00:00+00,44.04799543,-70.2924965
-70.23256794,44.11950948,69,REM00940,VPJ COMPANY,,TURNER STREET & AUBURN AVENUE,AUBURN,ANDROSCOGGIN,VRAP,14.55,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2002/10/03 00:00:00+00,44.11950948,-70.23256794
-69.7925820999999,44.3123518200001,70,REM00941,APPLEBEE'S,,CAPITOL SHOPPING CENTER,AUGUSTA,KENNEBEC,VRAP,1,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2001/09/05 00:00:00+00,44.31235182,-69.7925821
-69.76338,44.324595,71,REM00943,BANGOR/BELFAST PROPERTIES,RITE AID,CORNER OF BANGOR STREET & NORTH BELFAST AVENUE,AUGUSTA,KENNEBEC,VRAP,3.2,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1998/12/24 00:00:00+00,44.324595,-69.76338
-69.78294045,44.31136545,72,REM00945,CHRISTYS 342,,31 WESTERN AVENUE,AUGUSTA,KENNEBEC,VRAP,0.23,TRUE,TRANSFERRED TO OTHER DIVISION,OIL,2016/04/27 00:00:00+00,44.31136545,-69.78294045
-69.7582902899999,44.30296114,73,REM00946,GLENRIDGE APARTMENTS,,"54, 55, 63, 70, 75 & 78 GLENRIDGE DRIVE",AUGUSTA,KENNEBEC,VRAP,14.67,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2003/03/10 00:00:00+00,44.30296114,-69.75829029
-69.76357689,44.3295095600001,74,REM00947,LIPMAN POULTRY PROCESSING,,184 RIVERSIDE DRIVE,AUGUSTA,KENNEBEC,VRAP,4.27,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1996/11/06 00:00:00+00,44.32950956,-69.76357689
-69.81507541,44.3147661400001,75,REM00948,TURNPIKE MALL,,10 WHITTEN ROAD,AUGUSTA,KENNEBEC,VRAP,17.8,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2002/02/07 00:00:00+00,44.31476614,-69.81507541
-68.77354546,44.79762434,76,REM00949,201 MAIN STREET,QV REALTY TRUST,201 MAIN STREET,BANGOR,PENOBSCOT,VRAP,1,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1996/02/14 00:00:00+00,44.79762434,-68.77354546
-68.7747255199999,44.7952567300001,77,REM00950,317 MAIN STREET,,317-321 MAIN STREET,BANGOR,PENOBSCOT,VRAP,,TRUE,REMEDIATION STAGE,NEED (AWAITING RESOURCES),2015/06/24 00:00:00+00,44.79525673,-68.77472552
-68.7824886,44.7857086400001,78,REM00951,"BANGOR PIPE & SUPPLY, INC.",,54-69 FARM ROAD,BANGOR,PENOBSCOT,VRAP,3.8,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1999/07/12 00:00:00+00,44.78570864,-68.7824886
-68.8151888099999,44.81808153,79,REM00954,FORMER DARLINGS' NISSAN,,366 GRIFFIN ROAD,BANGOR,PENOBSCOT,VRAP,2.07,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1997/01/21 00:00:00+00,44.81808153,-68.81518881
-68.7914433299999,44.80670307,80,REM00955,GRANTS DAIRY,,566 UNION STREET,BANGOR,PENOBSCOT,VRAP,1.3,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,1998/09/25 00:00:00+00,44.80670307,-68.79144333
-68.77260732,44.7945911400001,81,REM00958,KOBRITZ BUILDING,,77 RAILOROAD STREET,BANGOR,PENOBSCOT,VRAP,,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2003/02/03 00:00:00+00,44.79459114,-68.77260732
-68.77415171,44.79314128,82,REM00960,MAINE CENTRAL RAILROAD YARD,,FRONT STREET,BANGOR,PENOBSCOT,VRAP,33,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2002/10/09 00:00:00+00,44.79314128,-68.77415171
-68.77042883,44.79564671,83,REM00961,NATIONAL CONFECTIONARY,,86-160 FRONT STREET,BANGOR,PENOBSCOT,VRAP,3.78,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2002/01/31 00:00:00+00,44.79564671,-68.77042883
-68.82123783,44.7816810300001,84,REM00962,NYNEX FACILITY,,645 ODLIN ROAD,BANGOR,PENOBSCOT,VRAP,5,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2000/02/09 00:00:00+00,44.78168103,-68.82123783
-68.77300072,44.7969239700001,85,REM00963,Q.V. REALTY TRUST,BANGOR RADIATOR,240-244 MAIN STREET,BANGOR,PENOBSCOT,VRAP,1.71,FALSE,INVESTIGATION STAGE,NEED (AWAITING RESOURCES),2006/06/09 00:00:00+00,44.79692397,-68.77300072
-68.81457627,44.78365926,86,REM00964,ROADWAY TRAVELODGE,,482 ODLIN ROAD,BANGOR,PENOBSCOT,VRAP,3.5,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2002/06/06 00:00:00+00,44.78365926,-68.81457627
-68.8018289999999,44.814557,87,REM00966,WESTGATE MALL,"UNION STREET LAUNDROMAT & DRY CLEANING (RCRA NAME), NORGE VILLAGE LAUNDRY AND DRY CLEANING",915 UNION STREET,BANGOR,PENOBSCOT,VRAP,11.5,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2016/05/02 00:00:00+00,44.814557,-68.801829
-68.20708874,44.3910355,88,REM00967,GOLDEN ANCHOR INN,,55 WEST STREET,BAR HARBOR,HANCOCK,VRAP,4.4,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2000/10/11 00:00:00+00,44.3910355,-68.20708874
-69.8166871299999,43.9124870900001,89,REM00968,798 WASHINGTON STREET,,798 WASHINGTON STREET,BATH,SAGADAHOC,VRAP,0.25,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2000/04/04 00:00:00+00,43.91248709,-69.81668713
